# https://chainz.cryptoid.info/ and whois results
# Arepacoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
141.226.10.251|/ArepaCoin Core:1.2.0/|60019|47956|141.226.8.0/22|IL|ripencc|1990-08-05|XFONE, IL
164.68.104.205|/ArepaCoin Core:1.2.0/|60019|51167|164.68.104.0/23|DE|ripencc|1992-12-17|CONTABO, DE
190.207.105.222|/ArepaCoin Core:1.2.0/|60019|8048|190.207.96.0/19|VE|lacnic|2007-06-13|CANTV Servicios, Venezuela, VE
46.151.159.53|/ArepaCoin Core:1.2.0/|60019|50473|46.151.152.0/21|RU|ripencc|2010-12-06|ECO-AS, RU
51.222.62.125|/ArepaCoin Core:1.2.0/|60019|16276|51.222.0.0/16|CA|arin|2020-03-31|OVH, FR
70.168.214.206|/ArepaCoin Core:1.2.0/|60019|22773|70.168.208.0/20|US|arin|2004-07-21|ASN-CXA-ALL-CCI-22773-RDC, US
70.31.181.159|/ArepaCore:1.0.1.8/|60016|577|70.31.0.0/16|CA|arin|2008-01-28|BACOM, CA
88.130.153.37|/ArepaCoin Core:1.2.0/|60019|8881|88.130.153.0/24|DE|ripencc|2005-10-17|VERSATEL, DE
91.201.188.142|/ArepaCoin Core:1.2.0/|60019|44411|91.201.188.0/22|UA|ripencc|2007-12-31|EKSI-AS, UA
94.134.92.120|/ArepaCoin Core:1.2.0/|60019|8881|94.134.92.0/24|DE|ripencc|2008-08-07|VERSATEL, DE
95.111.226.45|/ArepaCoin Core:1.2.0/|60019|51167|95.111.226.0/23|DE|ripencc|2008-12-30|CONTABO, DE
