# https://chainz.cryptoid.info/ and whois results
# Biblepay
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
107.191.44.254|/BiblePay Core:1.6.2.9/|70772|20473|107.191.44.0/23|US|arin|2014-04-25|AS-CHOOPA, US
124.19.112.94|/BiblePay Core:1.6.2.9/|70772|7474|124.19.0.0/17|AU|apnic|2008-04-15|OPTUSCOM-AS01-AU SingTel Optus Pty Ltd, AU
144.202.66.211|/BiblePay Core:1.6.2.9/|70772|20473|144.202.64.0/20|US|arin|2018-02-05|AS-CHOOPA, US
149.28.249.117|/BiblePay Core:1.6.2.9/|70772|20473|149.28.240.0/20|US|arin|2018-05-04|AS-CHOOPA, US
149.28.254.165|/BiblePay Core:1.6.2.9/|70772|20473|149.28.240.0/20|US|arin|2018-05-04|AS-CHOOPA, US
155.207.70.111|/BiblePay Core:1.6.2.8/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.140|/BiblePay Core:1.6.2.9/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.146|/BiblePay Core:1.6.2.9/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.19|/BiblePay Core:1.6.2.9/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.20|/BiblePay Core:1.6.2.8/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.24|/BiblePay Core:1.6.2.8/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.26|/BiblePay Core:1.6.2.9/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.30|/BiblePay Core:1.6.2.9/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.35|/BiblePay Core:1.6.2.9/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.41|/BiblePay Core:1.6.2.8/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.48|/BiblePay Core:1.6.2.8/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.64|/BiblePay Core:1.6.2.8/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.71|/BiblePay Core:1.6.2.8/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.76|/BiblePay Core:1.6.2.9/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.79|/BiblePay Core:1.6.2.9/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.80|/BiblePay Core:1.6.2.8/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.83|/BiblePay Core:1.6.2.8/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.86|/BiblePay Core:1.6.2.9/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.93|/BiblePay Core:1.6.2.8/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.71.175|/BiblePay Core:1.6.2.9/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.72.85|/BiblePay Core:1.6.2.9/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.72.86|/BiblePay Core:1.6.2.9/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
