# https://chainz.cryptoid.info/ and whois results
# BlackCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.243.173.214|/Blackcoin More:2.13.2.8/|70013|59210|103.243.173.0/24|SG|apnic|2013-10-15|PHOENIXNAP-AS-SG1 PhoenixNAP, SG
109.147.216.86|/Blackcoin More:2.13.2.8/|70013|2856|109.144.0.0/12|GB|ripencc|2009-08-06|BT-UK-AS BTnet UK Regional network, GB
109.252.66.11|/Blackcoin More:2.13.2.8/|70013|25513|109.252.0.0/16|RU|ripencc|2009-12-07|ASN-MGTS-USPD, RU
110.52.153.244|/Blackcoin More:2.13.2.6/|70013|4837|110.52.0.0/15|CN|apnic|2009-03-18|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
113.101.103.204|/Blackcoin More:2.13.2.7/|70013|4134|113.96.0.0/12|CN|apnic|2008-11-03|CHINANET-BACKBONE No.31,Jin-rong Street, CN
113.116.14.99|/Blackcoin More:2.13.2.7/|70013|4134|113.112.0.0/13|CN|apnic|2008-11-03|CHINANET-BACKBONE No.31,Jin-rong Street, CN
116.7.245.185|/Blackcoin More:2.13.2.8/|70013|4134|116.4.0.0/14|CN|apnic|2007-03-07|CHINANET-BACKBONE No.31,Jin-rong Street, CN
120.204.149.88|/Blackcoin More:2.13.2.8/|70013|24400|120.204.0.0/16|CN|apnic|2008-04-14|CMNET-V4SHANGHAI-AS-AP Shanghai Mobile Communications Co.,Ltd., CN
124.170.16.65|/Blackcoin More:2.13.2.8/|70013|7545|124.170.16.0/24|AU|apnic|2007-06-15|TPG-INTERNET-AP TPG Telecom Limited, AU
136.36.138.62|/Blackcoin More:2.13.2.8/|70013|16591|136.36.128.0/20|US|arin|2015-10-06|GOOGLE-FIBER, US
141.226.169.23|/Blackcoin More:2.13.2.6/|70013|47956|141.226.168.0/21|IL|ripencc|1990-08-05|XFONE, IL
161.81.45.67|/Satoshi:1.2.5/|60019|137872|161.81.40.0/21|HK|apnic|1992-06-22|PEOPLESPHONE-HK China Mobile Hong Kong Company Limited, HK
161.81.94.158|/Blackcoin More:2.13.2.8/|70013|137872|161.81.88.0/21|HK|apnic|1992-06-22|PEOPLESPHONE-HK China Mobile Hong Kong Company Limited, HK
161.97.80.103|/Blackcoin More:2.13.2.8/|70013|51167|161.97.80.0/23|DE|ripencc|1992-06-23|CONTABO, DE
164.68.105.69|/Satoshi:2.12.1/|70012|51167|164.68.104.0/23|DE|ripencc|1992-12-17|CONTABO, DE
171.40.42.123|/Blackcoin More:2.13.2.6/|70013|4134|171.40.0.0/15|CN|apnic|2011-03-25|CHINANET-BACKBONE No.31,Jin-rong Street, CN
172.83.43.132|/Blackcoin More:2.13.2.8/|70013|46562|172.83.43.0/24|US|arin|2018-01-13|PERFORMIVE, US
178.14.202.10|/Blackcoin More:2.13.2.8/|70013|3209|178.0.0.0/12|DE|ripencc|2010-01-12|VODANET International IP-Backbone of Vodafone, DE
178.63.23.210|/Blackcoin More:2.13.2.8/|70013|24940|178.63.0.0/16|DE|ripencc|2010-03-02|HETZNER-AS, DE
180.111.80.127|/Blackcoin More:2.13.2.8/|70013|4134|180.96.0.0/11|CN|apnic|2009-07-23|CHINANET-BACKBONE No.31,Jin-rong Street, CN
181.214.102.155|/BlackCoin:1.2.5.2/|60019|61317|181.214.96.0/20|CL|lacnic|2014-05-29|ASDETUK www.heficed.com, GB
181.214.107.41|/BlackCoin:1.2.5.2/|60019|61317|181.214.96.0/20|CL|lacnic|2014-05-29|ASDETUK www.heficed.com, GB
183.227.17.242|/Blackcoin More:2.13.2.8/|70013|9808|183.227.17.0/24|CN|apnic|2009-11-08|CMNET-GD Guangdong Mobile Communication Co.Ltd., CN
185.203.152.133|/Blackcoin More:2.13.2.1/|70015|31143|185.203.152.0/23|BY|ripencc|2017-05-15|COSMOSTV-AS, BY
185.244.212.222|/Blackcoin More:2.13.2.8/|70013|9009|185.244.212.0/24|RO|ripencc|2018-02-05|M247, GB
185.245.85.23|/Blackcoin More:2.13.2.8/|70013|9009|185.245.85.0/24|RO|ripencc|2018-02-07|M247, GB
188.126.6.32|/Blackcoin More:2.13.2.8/|70013|42049|188.126.0.0/20|BG|ripencc|2009-07-22|NADEJDANET, BG
188.241.83.108|/Blackcoin More:2.13.2.8/|70013|9009|188.241.83.0/24|RO|ripencc|2009-06-23|M247, GB
190.96.1.19|/Blackcoin More:2.13.2.8/|70013|18822|190.96.1.0/24|CL|lacnic|2007-07-19|Manquehuenet, CL
193.121.138.237|/Satoshi:1.2.4/|60019|5432|193.121.0.0/16|BE|ripencc|1996-05-08|PROXIMUS-ISP-AS, BE
199.241.187.130|/Blackcoin More:2.13.2.7/|70013|31863|199.241.184.0/21|US|arin|2012-07-30|DACEN-2, US
2.82.239.33|/Satoshi:1.2.4/|60019|3243|2.80.0.0/14|PT|ripencc|2010-04-29|MEO-RESIDENCIAL, PT
2.93.85.150|/Blackcoin More:2.13.2.6/|70013|8402|2.93.85.0/24|RU|ripencc|2010-05-21|CORBINA-AS OJSC Vimpelcom, RU
213.232.87.130|/Blackcoin More:2.13.2.8/|70013|49981|213.232.87.0/24|DE|ripencc|2018-12-07|WORLDSTREAM, NL
217.146.88.15|/Blackcoin More:2.13.2.8/|70013|213122|217.146.88.0/24|GB|ripencc|2004-04-21|HYONIX Hyonix LLC, US
217.22.133.198|/Blackcoin More:2.13.2.6/|70013|8758|217.22.128.0/20|CH|ripencc|2000-10-02|IWAY, CH
27.154.212.118|/Blackcoin More:2.13.2.8/|70013|4134|27.152.0.0/13|CN|apnic|2010-03-26|CHINANET-BACKBONE No.31,Jin-rong Street, CN
31.31.17.153|/BlackCoin:1.2.5.2/|60019|1547|31.31.0.0/19|MD|ripencc|2011-03-16|IDK-NETWORK, MD
42.192.85.218|/Blackcoin More:2.13.2.7/|70013|45090|42.192.64.0/18|CN|apnic|2011-03-04|CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
47.17.14.113|/Blackcoin More:2.13.2.4/|70013|6128|47.16.0.0/15|US|arin|2012-02-29|CABLE-NET-1, US
60.108.92.175|/Blackcoin More:2.13.2.6/|70013|17676|60.108.0.0/16|JP|apnic|2004-05-20|GIGAINFRA Softbank BB Corp., JP
66.183.192.112|/Blackcoin More:2.13.2.8/|70013|852|66.183.0.0/16|CA|arin|2001-10-18|TELUS Communications, CA
67.87.186.175|/Blackcoin More:2.13.2.8/|70013|6128|67.84.0.0/14|US|arin|2001-11-09|CABLE-NET-1, US
70.65.177.213|/Blackcoin More:2.13.2.8/|70013|6327|70.65.176.0/22|CA|arin|2004-06-18|SHAW, CA
71.211.67.37|/Blackcoin More:2.13.2.8/|70013|209|71.211.0.0/16|US|arin|2005-05-06|CENTURYLINK-US-LEGACY-QWEST, US
71.34.5.81|/Blackcoin More:2.13.2.8/|70013|209|71.34.0.0/18|US|arin|2004-12-17|CENTURYLINK-US-LEGACY-QWEST, US
73.247.138.101|/Blackcoin More:2.13.2.8/|70013|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
73.53.78.243|/Blackcoin More:2.13.2.7/|70013|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
75.177.247.210|/Blackcoin More:2.13.2.7/|70013|11426|75.176.0.0/15|US|arin|2006-08-16|TWC-11426-CAROLINAS, US
77.116.52.168|/Blackcoin More:2.13.2.8/|70013|25255|77.116.0.0/14|AT|ripencc|2007-01-10|H3G-AUSTRIA-AS TELE2 AUSTRIA , AT
79.233.87.235|/Blackcoin More:2.13.2.8/|70013|3320|79.192.0.0/10|DE|ripencc|2007-06-06|DTAG Internet service provider operations, DE
82.169.3.109|/Blackcoin More:2.13.2.6/|70013|1136|82.169.0.0/18|NL|ripencc|2003-08-29|KPN KPN National, NL
83.85.142.36|/Blackcoin More:2.13.2.7/|70013|33915|83.84.0.0/14|NL|ripencc|2003-11-28|TNF-AS, NL
84.86.154.108|/Blackcoin More:2.13.2.8/|70013|1136|84.80.0.0/13|NL|ripencc|2004-03-17|KPN KPN National, NL
85.144.252.98|/Blackcoin More:2.13.2.8/|70013|50266|85.144.0.0/15|NL|ripencc|2004-10-06|TMOBILE-THUIS, NL
87.127.113.47|/Blackcoin More:2.13.2.7/|70013|8468|87.127.0.0/16|GB|ripencc|2005-09-08|ENTANET ENTANET International Limited, GB
89.246.59.25|/Blackcoin More:2.13.2.8/|70013|8881|89.246.56.0/21|DE|ripencc|2006-05-04|VERSATEL, DE
92.219.40.202|/Blackcoin More:2.13.2.7/|70013|3209|92.216.0.0/14|DE|ripencc|2007-10-17|VODANET International IP-Backbone of Vodafone, DE
93.104.65.43|/Blackcoin More:2.13.2.8/|70013|8767|93.104.0.0/16|DE|ripencc|2008-03-18|MNET-AS Germany, DE
