# https://chainz.cryptoid.info/ and whois results
# CannabisCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
109.148.165.69|/Cannabiscoin:0.13.1/|70019|2856|109.144.0.0/12|GB|ripencc|2009-08-06|BT-UK-AS BTnet UK Regional network, GB
109.48.122.245|/Satoshi:0.8.7/|70014|2860|109.48.64.0/18|PT|ripencc|2009-10-19|NOS_COMUNICACOES, PT
116.202.251.195|/Cannabiscoin:0.8.9/|70017|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
118.71.224.238|/Cannabiscoin:0.13.1/|70019|18403|118.71.224.0/20|VN|apnic|2007-08-08|FPT-AS-AP The Corporation for Financing & Promoting Technology, VN
136.24.44.100|/Cannabiscoin:0.13.1/|70019|19165|136.24.0.0/16|US|arin|2016-10-31|WEBPASS, US
137.135.18.91|/Cannabiscoin:0.13.1/|70019|8075|137.135.0.0/16|US|arin|2011-06-22|MICROSOFT-CORP-MSN-AS-BLOCK, US
138.68.254.94|/Cannabiscoin:0.13.2/|70019|14061|138.68.240.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
144.91.77.184|/Cannabiscoin:0.13.2/|70019|51167|144.91.76.0/23|DE|ripencc|1990-11-20|CONTABO, DE
149.248.53.93|/Cannabiscoin:0.13.2/|70019|20473|149.248.48.0/20|US|arin|2018-07-03|AS-CHOOPA, US
156.146.139.69|/Cannabiscoin:0.13.2/|70019|1448|156.146.128.0/18|US|arin|2020-04-08|UNITED-BROADBAND, US
157.90.181.171|/Cannabiscoin:0.13.2/|70019|24940|157.90.0.0/16|DE|ripencc|1996-12-16|HETZNER-AS, DE
159.242.227.35|/Cannabiscoin:0.13.1/|70019|198605|159.242.227.0/24|SK|ripencc|1992-06-17|AVAST-AS-DC, CZ
161.97.187.181|/Cannabiscoin:0.13.1/|70019|51167|161.97.184.0/22|DE|ripencc|1992-06-23|CONTABO, DE
167.86.116.187|/Cannabiscoin:0.13.2/|70019|51167|167.86.116.0/23|DE|ripencc|1993-05-14|CONTABO, DE
176.237.228.192|/Cannabiscoin:0.13.2/|70019|16135|176.237.224.0/20|TR|ripencc|2011-12-01|TURKCELL-AS Turkcell A.S., TR
178.218.113.44|/Cannabiscoin:0.13.2/|70019|49403|178.218.112.0/20|RU|ripencc|2010-04-13|AVK-WELLCOM-AS, RU
178.34.158.230|/Cannabiscoin:0.13.1/|70019|201776|178.34.152.0/21|RU|ripencc|2010-01-21|MIRANDA-AS, RU
178.63.23.210|/Cannabiscoin:0.13.2/|70019|24940|178.63.0.0/16|DE|ripencc|2010-03-02|HETZNER-AS, DE
178.63.9.83|/Cannabiscoin:0.13.2/|70019|24940|178.63.0.0/16|DE|ripencc|2010-03-02|HETZNER-AS, DE
185.3.35.9|/Cannabiscoin:0.13.2/|70019|31163|185.3.34.0/23|RU|ripencc|2012-09-19|MF-KAVKAZ-AS, RU
190.96.1.19|/Cannabiscoin:0.13.1/|70019|18822|190.96.1.0/24|CL|lacnic|2007-07-19|Manquehuenet, CL
192.222.229.98|/Cannabiscoin:0.13.2/|70019|1403|192.222.224.0/19|CA|arin|2012-12-20|EBOX, CA
