# https://chainz.cryptoid.info/ and whois results
# Coino
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
139.180.175.71|/Coino:2.0.0/|90000|20473|139.180.160.0/20|US|apnic|1993-04-08|AS-CHOOPA, US
173.70.180.51|/Coino:2.0.0/|90000|701|173.70.0.0/16|US|arin|2008-08-11|UUNET, US
188.241.83.74|/Coino:2.0.0/|90000|9009|188.241.83.0/24|RO|ripencc|2009-06-23|M247, GB
194.37.81.113|/Coino:2.0.0/|90000|60781|194.37.81.0/24|GI|ripencc|2018-05-16|LEASEWEB-NL-AMS-01 Netherlands, NL
207.148.123.14|/Coino:2.0.0/|90000|20473|207.148.120.0/21|US|apnic|1996-06-07|AS-CHOOPA, US
23.227.193.219|/Coino:2.0.0/|90000|29802|23.227.193.0/24|US|arin|2019-12-11|HVC-AS, US
27.122.12.244|/Coino:2.0.0/|90000|55536|27.122.12.0/24|HK|apnic|2010-10-04|PSWITCH-HK PACSWITCH IP NETWORK, HK
31.210.96.73|/Coino:2.0.0/|90000|197328|31.210.96.0/24|TR|ripencc|2011-05-04|INETLTD, TR
46.101.235.143|/Coino:2.0.0/|90000|14061|46.101.128.0/17|US|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
54.36.110.77|/Coino:2.0.0/|90000|16276|54.36.0.0/16|FR|ripencc|1992-03-17|OVH, FR
67.212.83.225|/Coino:2.0.0/|90000|10929|67.212.64.0/19|CA|arin|2007-08-30|ESTRUXTURE, CA
82.102.22.46|/Coino:2.0.0/|90000|9009|82.102.22.0/24|GB|ripencc|2003-12-29|M247, GB
89.46.103.243|/Coino:2.0.0/|90000|9009|89.46.100.0/22|RO|ripencc|2005-11-29|M247, GB
91.206.16.214|/Coino:2.0.0/|90000|13259|91.206.16.0/23|RU|ripencc|2008-06-09|DELTA-TELESYSTEMS-AS, RU
