# https://chainz.cryptoid.info/ and whois results
# ColossusXT
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.100.29.172|/ColossusXT Core:1.2.4/|70911|137549|103.100.28.0/22|AU|apnic|2017-09-04|NODE1-AS-AP NODE1 Pty Ltd, AU
109.93.193.143|/ColossusXT Core:1.2.4/|70911|8400|109.92.0.0/15|RS|ripencc|2009-09-21|TELEKOM-AS, RS
115.66.6.250|/ColossusXT Core:1.2.4/|70911|9506|115.66.0.0/17|SG|apnic|2008-07-15|SINGTEL-FIBRE Singtel Fibre Broadband, SG
116.202.31.2|/ColossusXT Core:1.2.4/|70911|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.203.53.138|/ColossusXT Core:1.2.4/|70911|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.86.196.220|/ColossusXT Core:1.2.4/|70911|55430|116.86.192.0/18|SG|apnic|2007-05-18|STARHUB-NGNBN Starhub Ltd, SG
118.24.250.50|/ColossusXT Core:1.2.4/|70911|45090|118.24.248.0/22|CN|apnic|2007-08-03|CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
118.24.253.50|/ColossusXT Core:1.2.4/|70911|45090|118.24.252.0/22|CN|apnic|2007-08-03|CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
139.155.231.239|/ColossusXT Core:1.2.4/|70911|45090|139.155.224.0/20|CN|apnic|2011-03-09|CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
139.155.82.239|/ColossusXT Core:1.2.4/|70911|45090|139.155.80.0/20|CN|apnic|2011-03-09|CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
14.186.147.144|/ColossusXT Core:1.2.4/|70911|45899|14.186.144.0/20|VN|apnic|2010-08-16|VNPT-AS-VN VNPT Corp, VN
140.143.7.68|/ColossusXT Core:1.2.4/|70911|45090|140.143.0.0/20|CN|apnic|2011-03-10|CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
142.93.41.101|/ColossusXT Core:1.2.4/|70911|14061|142.93.32.0/20|US|arin|2018-07-12|DIGITALOCEAN-ASN, US
144.91.104.91|/ColossusXT Core:1.2.4/|70911|51167|144.91.104.0/23|DE|ripencc|1990-11-20|CONTABO, DE
157.90.154.14|/ColossusXT Core:1.2.4/|70911|24940|157.90.0.0/16|DE|ripencc|1996-12-16|HETZNER-AS, DE
157.90.4.14|/ColossusXT Core:1.2.4/|70911|24940|157.90.0.0/16|DE|ripencc|1996-12-16|HETZNER-AS, DE
167.86.91.19|/ColossusXT Core:1.2.3/|70911|51167|167.86.90.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.99.186.211|/ColossusXT Core:1.2.4/|70911|14061|167.99.176.0/20|US|arin|2017-11-10|DIGITALOCEAN-ASN, US
173.212.222.238|/ColossusXT Core:1.2.4/|70911|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
173.249.5.141|/ColossusXT Core:1.2.4/|70911|51167|173.249.4.0/23|DE|ripencc|2010-05-26|CONTABO, DE
173.254.204.103|/ColossusXT Core:1.2.3/|70911|8100|173.254.192.0/18|US|arin|2010-10-19|ASN-QUADRANET-GLOBAL, US
173.47.108.27|/ColossusXT Core:1.2.4/|70911|11492|173.47.108.0/24|US|arin|2008-10-22|CABLEONE, US
176.248.43.174|/ColossusXT Core:1.2.4/|70911|5607|176.248.0.0/13|GB|ripencc|2011-12-05|BSKYB-BROADBAND-AS, GB
178.128.91.78|/ColossusXT Core:1.2.4/|70911|14061|178.128.80.0/20|US|ripencc|2010-03-03|DIGITALOCEAN-ASN, US
185.147.75.107|/ColossusXT Core:1.2.4/|70911|59701|185.147.72.0/22|DK|ripencc|2016-04-13|LYTZENIT, DK
185.147.75.108|/ColossusXT Core:1.2.4/|70911|59701|185.147.72.0/22|DK|ripencc|2016-04-13|LYTZENIT, DK
185.243.113.125|/ColossusXT Core:1.2.4/|70911|208258|185.243.113.0/24|NL|ripencc|2018-01-26|ACCESS2IT Access2.IT Network, NL
195.216.253.99|/ColossusXT Core:1.2.4/|70911|197843|195.216.253.0/24|SI|ripencc|2010-08-04|ALCAD-, SI
2.24.144.138|/ColossusXT Core:1.2.4/|70911|12576|2.24.0.0/16|GB|ripencc|2010-09-21|EE Ltd, GB
202.32.14.177|/ColossusXT Core:1.2.4/|70911|2497|202.32.0.0/16|JP|apnic|1993-11-16|IIJ Internet Initiative Japan Inc., JP
207.180.207.146|/ColossusXT Core:1.2.3/|70911|51167|207.180.206.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.180.220.22|break|70911|51167|207.180.220.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.180.227.7|/ColossusXT Core:1.2.4/|70911|51167|207.180.226.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.201.218.153|/ColossusXT Core:1.2.4/|70911|40805|207.201.218.0/24|US|arin|1996-09-17|JMF-WAVEFLY, US
209.126.81.50|/ColossusXT Core:1.2.4/|70911|40021|209.126.80.0/21|US|arin|2021-03-18|CONTABO, US
212.14.212.147|/ColossusXT Core:1.2.4/|70911|12389|212.14.212.0/24|RU|ripencc|1998-08-17|ROSTELECOM-AS, RU
213.49.77.85|/ColossusXT Core:1.2.4/|70911|5432|213.49.0.0/16|BE|ripencc|1999-11-19|PROXIMUS-ISP-AS, BE
217.228.45.124|/ColossusXT Core:1.2.4/|70911|3320|217.224.0.0/11|DE|ripencc|2001-04-04|DTAG Internet service provider operations, DE
220.245.87.25|/ColossusXT Core:1.2.4/|70911|7545|220.245.87.0/24|AU|apnic|2004-02-05|TPG-INTERNET-AP TPG Telecom Limited, AU
24.55.3.19|/ColossusXT Core:1.2.4/|70911|11427|24.55.0.0/18|US|arin|2013-05-28|TWC-11427-TEXAS, US
45.77.135.127|/ColossusXT Core:1.2.3/|70911|20473|45.77.128.0/21|US|arin|2015-04-24|AS-CHOOPA, US
46.223.162.69|/ColossusXT Core:1.2.4/|70911|3209|46.223.128.0/17|DE|ripencc|2011-01-26|VODANET International IP-Backbone of Vodafone, DE
46.85.97.213|/ColossusXT Core:1.2.4/|70911|3320|46.80.0.0/12|DE|ripencc|2010-06-07|DTAG Internet service provider operations, DE
5.175.2.240|/ColossusXT Core:1.2.4/|70911|8972|5.175.0.0/20|DE|ripencc|2012-08-01|GD-EMEA-DC-SXB1, DE
52.144.111.78|/ColossusXT Core:1.2.4/|70911|26077|52.144.111.0/24|US|arin|2016-09-07|NEXTLINK-TEXAS, US
62.122.202.167|/ColossusXT Core:1.2.4/|70911|49125|62.122.200.0/21|UA|ripencc|2009-04-16|UTEAM-AS, UA
62.171.190.140|/ColossusXT Core:1.2.4/|70911|51167|62.171.190.0/23|DE|ripencc|2000-08-18|CONTABO, DE
66.42.87.212|/ColossusXT Core:1.2.4/|70911|20473|66.42.80.0/20|US|arin|2018-05-07|AS-CHOOPA, US
79.116.10.51|/ColossusXT Core:1.2.4/|70911|57269|79.116.0.0/16|RO|ripencc|2007-05-29|DIGISPAINTELECOM, ES
79.98.25.164|/ColossusXT Core:1.2.4/|70911|62282|79.98.24.0/21|LT|ripencc|2007-10-23|RACKRAY UAB Rakrejus, LT
80.100.217.190|/ColossusXT Core:1.2.4/|70911|3265|80.100.0.0/15|NL|ripencc|2001-07-16|XS4ALL-NL Amsterdam, NL
80.240.16.44|/ColossusXT Core:1.2.3/|70911|20473|80.240.16.0/20|US|ripencc|2005-08-12|AS-CHOOPA, US
86.91.177.15|/ColossusXT Core:1.2.4/|70911|1136|86.80.0.0/12|NL|ripencc|2005-03-23|KPN KPN National, NL
93.140.17.194|/ColossusXT Core:1.2.4/|70911|5391|93.140.0.0/16|HR|ripencc|2008-04-23|T-HT Croatian Telecom Inc., HR
95.111.249.155|/ColossusXT Core:1.2.4/|70911|51167|95.111.248.0/23|DE|ripencc|2008-12-30|CONTABO, DE
95.180.45.65|/ColossusXT Core:1.2.4/|70911|31042|95.180.0.0/17|RS|ripencc|2009-01-23|SERBIA-BROADBAND-AS Serbia BroadBand-Srpske Kablovske mreze d.o.o., RS
95.216.139.46|/ColossusXT Core:1.2.4/|70911|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.41.35|/ColossusXT Core:1.2.3/|70911|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
