# https://chainz.cryptoid.info/ and whois results
# Deutsche eMark
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
107.218.22.183|/eMark:1.5.1/|60011|7018|107.208.0.0/12|US|arin|2012-04-25|ATT-INTERNET4, US
110.20.49.110|/eMark:1.5.1/|60011|4804|110.20.0.0/17|AU|apnic|2009-02-24|MPX-AS Microplex PTY LTD, AU
139.162.155.117|/eMark:1.6.1.1/|60012|63949|139.162.128.0/19|NL|ripencc|1990-03-24|LINODE-AP Linode, LLC, US
141.105.33.157|/eMark:1.5.1/|60011|12688|141.105.32.0/20|RU|ripencc|2011-06-27|BAIKALTRANSTELECOM Irkutsk, Russia, RU
153.168.21.179|/eMark:1.5.0/|60011|4713|153.160.0.0/12|JP|apnic|2011-02-28|OCN NTT Communications Corporation, JP
161.97.112.55|/eMark:1.6.1.1/|60012|51167|161.97.112.0/23|DE|ripencc|1992-06-23|CONTABO, DE
167.86.116.187|/eMark:1.6.1/|60012|51167|167.86.116.0/23|DE|ripencc|1993-05-14|CONTABO, DE
172.105.182.91|/eMark:1.6.1.1/|60012|63949|172.105.160.0/19|US|arin|2015-06-19|LINODE-AP Linode, LLC, US
178.238.229.124|/eMark:1.5.0/|60011|51167|178.238.228.0/23|DE|ripencc|2010-07-28|CONTABO, DE
185.157.191.2|/eMark:1.6.1/|60012|200323|185.157.191.0/24|RU|ripencc|2016-06-29|POI-FEBRAS-AS, RU
186.233.185.222|/eMark:1.5.1/|60011|262287|186.233.185.0/24|BR|lacnic|2012-04-04|Maxihost LTDA, BR
188.22.196.193|/eMark:1.5.1/|60011|8447|188.20.0.0/14|AT|ripencc|2009-02-03|A1TELEKOM-AT A1 Telekom Austria AG, AT
192.64.80.50|/eMark:1.6.1/|60012|19318|192.64.80.0/21|US|arin|2012-12-14|IS-AS-1, US
198.27.70.189|/eMark:1.5.1/|60011|16276|198.27.64.0/18|CA|arin|2012-08-28|OVH, FR
2.202.168.214|/eMark:1.5.1/|60011|3209|2.200.0.0/14|DE|ripencc|2010-11-18|VODANET International IP-Backbone of Vodafone, DE
206.72.198.107|/eMark:1.6.1/|60012|19318|206.72.192.0/20|US|arin|2011-10-03|IS-AS-1, US
217.241.238.173|/eMark:1.5.1/|60011|3320|217.224.0.0/11|DE|ripencc|2001-04-04|DTAG Internet service provider operations, DE
217.30.195.29|/eMark:1.4.1/|60010|49223|217.30.192.0/20|UA|ripencc|2009-05-01|EVEREST-AS, UA
45.142.176.172|/eMark:1.6.1/|60012|197540|45.142.176.0/22|DE|ripencc|2019-08-19|NETCUP-AS netcup GmbH, DE
45.236.101.208|/eMark:1.5.1/|60011|266806|45.236.101.0/24|AR|lacnic|2018-05-09|DIAZ MARCELA ALEJANDRAPATAGONIA DIGITAL, AR
46.101.235.143|/eMark:1.5.1/|60011|14061|46.101.128.0/17|US|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
46.232.249.107|/eMark:1.6.1/|60012|197540|46.232.248.0/22|DE|ripencc|2018-06-15|NETCUP-AS netcup GmbH, DE
5.9.141.86|/eMark:1.5.0/|60011|24940|5.9.0.0/16|DE|ripencc|2012-04-25|HETZNER-AS, DE
51.6.97.40|/eMark:1.5.0/|60011|6871|51.6.0.0/15|GB|ripencc|1993-09-01|PLUSNET UK Internet Service Provider, GB
51.68.204.201|/eMark:1.6.1/|60012|16276|51.68.0.0/16|FR|ripencc|1993-09-01|OVH, FR
62.176.239.21|/eMark:1.5.0/|60011|9136|62.176.224.0/19|DE|ripencc|2003-04-11|WOBCOM, DE
69.180.65.143|/eMark:1.5.1/|60011|7922|69.180.0.0/15|US|arin|2004-02-18|COMCAST-7922, US
75.81.199.222|/eMark:1.5.1/|60011|10796|75.81.192.0/19|US|arin|2006-07-19|TWC-10796-MIDWEST, US
76.101.171.160|/eMark:1.5.1/|60011|7922|76.96.0.0/11|US|arin|2007-01-02|COMCAST-7922, US
77.165.67.182|/eMark:1.5.1/|60011|1136|77.160.0.0/13|NL|ripencc|2006-11-02|KPN KPN National, NL
79.226.206.69|/eMark:1.5.1/|60011|3320|79.192.0.0/10|DE|ripencc|2007-06-06|DTAG Internet service provider operations, DE
79.253.44.225|/eMark:1.5.1/|60011|3320|79.192.0.0/10|DE|ripencc|2007-06-06|DTAG Internet service provider operations, DE
80.108.137.178|/eMark:1.5.1/|60011|8412|80.108.0.0/16|AT|ripencc|2001-07-19|TMA Magenta Telekom, AT
80.143.205.154|/eMark:1.5.1/|60011|3320|80.128.0.0/12|DE|ripencc|2001-08-06|DTAG Internet service provider operations, DE
80.143.213.121|/eMark:1.5.1/|60011|3320|80.128.0.0/12|DE|ripencc|2001-08-06|DTAG Internet service provider operations, DE
82.161.34.149|/eMark:1.6.1/|60012|3265|82.161.0.0/16|NL|ripencc|2003-07-14|XS4ALL-NL Amsterdam, NL
84.162.162.5|/eMark:1.6.1.3/|60012|3320|84.128.0.0/10|DE|ripencc|2004-03-10|DTAG Internet service provider operations, DE
84.2.34.93|/eMark:1.6.0/|60011|15545|84.2.34.0/23|HU|ripencc|2004-09-17|MT-DC-AS EU. Hungary, HU
84.227.254.200|/eMark:1.5.1/|60011|6730|84.226.0.0/15|CH|ripencc|2004-07-02|SUNRISE, CH
85.15.179.171|/eMark:1.6.1/|60012|12389|85.15.128.0/18|RU|ripencc|2005-04-26|ROSTELECOM-AS, RU
85.19.25.38|/eMark:1.6.1/|60012|25400|85.19.0.0/16|NO|ripencc|2005-03-16|TELIA-NORWAY-AS Telia Norway Core Networks, NO
85.203.44.100|/eMark Android:1.0.0/|60011|43350|85.203.44.0/24|NL|ripencc|2005-01-12|NFORCE, NL
87.128.105.199|/eMark:1.5.1/|60011|3320|87.128.0.0/10|DE|ripencc|2005-05-03|DTAG Internet service provider operations, DE
87.129.53.98|/eMark:1.5.1/|60011|3320|87.128.0.0/10|DE|ripencc|2005-05-03|DTAG Internet service provider operations, DE
88.217.34.99|/eMark:1.5.1/|60011|8767|88.217.0.0/16|DE|ripencc|2005-11-23|MNET-AS Germany, DE
88.217.39.214|/eMark:1.5.1/|60011|8767|88.217.0.0/16|DE|ripencc|2005-11-23|MNET-AS Germany, DE
91.0.68.55|/eMark:1.5.1/|60011|3320|91.0.0.0/10|DE|ripencc|2006-07-03|DTAG Internet service provider operations, DE
91.206.16.214|/eMark:1.6.1/|60012|13259|91.206.16.0/23|RU|ripencc|2008-06-09|DELTA-TELESYSTEMS-AS, RU
91.32.144.174|/eMark:1.5.1/|60011|3320|91.0.0.0/10|DE|ripencc|2006-07-03|DTAG Internet service provider operations, DE
91.52.103.5|/eMark:1.5.1/|60011|3320|91.0.0.0/10|DE|ripencc|2006-07-03|DTAG Internet service provider operations, DE
93.197.124.159|/eMark:1.5.1/|60011|3320|93.192.0.0/10|DE|ripencc|2008-02-12|DTAG Internet service provider operations, DE
93.226.115.170|/eMark:1.5.1/|60011|3320|93.192.0.0/10|DE|ripencc|2008-02-12|DTAG Internet service provider operations, DE
94.130.132.133|/eMark:1.5.0/|60011|24940|94.130.0.0/16|DE|ripencc|2008-06-23|HETZNER-AS, DE
94.134.118.232|/eMark:1.5.1/|60011|8881|94.134.118.0/24|DE|ripencc|2008-08-07|VERSATEL, DE
94.134.118.74|/eMark:1.5.1/|60011|8881|94.134.118.0/24|DE|ripencc|2008-08-07|VERSATEL, DE
94.134.119.40|/eMark:1.5.1/|60011|8881|94.134.119.0/24|DE|ripencc|2008-08-07|VERSATEL, DE
94.2.82.79|/eMark:1.4.1/|60010|5607|94.0.0.0/12|GB|ripencc|2008-05-27|BSKYB-BROADBAND-AS, GB
95.217.78.79|/eMark:1.5.1/|60011|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.244.137.28|/eMark:1.5.0/|60011|3269|95.244.0.0/16|IT|ripencc|2009-01-15|ASN-IBSNAZ, IT
95.90.198.115|/eMark:1.4.1/|60010|3209|95.88.0.0/14|DE|ripencc|2008-12-15|VODANET International IP-Backbone of Vodafone, DE
95.90.203.195|/eMark:1.5.0/|60011|3209|95.88.0.0/14|DE|ripencc|2008-12-15|VODANET International IP-Backbone of Vodafone, DE
