# https://chainz.cryptoid.info/ and whois results
# DigiByte
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
1.157.58.226|/DigiByte:7.17.2/|70017|1221|1.128.0.0/11|AU|apnic|2010-05-18|ASN-TELSTRA Telstra Corporation Ltd, AU
100.40.26.102|/DigiByte:7.17.2/|70017|701|100.40.0.0/17|US|arin|2010-12-28|UUNET, US
101.179.139.190|/DigiByte:7.17.2/|70017|1221|101.160.0.0/11|AU|apnic|2010-12-23|ASN-TELSTRA Telstra Corporation Ltd, AU
101.37.90.142|/DigiByte:7.17.2/|70017|37963|101.37.0.0/17|CN|apnic|2010-12-14|CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN
103.16.129.95|/open-nodes:0.1/|70019|133159|103.16.128.0/22|AU|apnic|2013-02-06|MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
105.185.185.170|/DigiByte:7.17.2/|70017|37457|105.185.0.0/16|ZA|afrinic|2013-11-18|Telkom-Internet, ZA
116.235.133.252|/DigiByte:7.17.2/|70017|4812|116.235.0.0/16|CN|apnic|2007-04-04|CHINANET-SH-AP China Telecom Group, CN
117.173.226.104|/DigiByte:7.17.2/|70017|9808|117.173.0.0/16|CN|apnic|2007-07-17|CMNET-GD Guangdong Mobile Communication Co.Ltd., CN
120.18.156.120|/DigiByte:7.17.2/|70017|133612|120.18.128.0/18|AU|apnic|2008-03-07|VODAFONE-AS-AP Vodafone Australia Pty Ltd, AU
120.27.242.56|/DigiByte:7.17.3/|70017|37963|120.27.192.0/18|CN|apnic|2008-03-12|CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN
121.98.150.116|/DigiByte:7.17.2/|70017|9790|121.98.0.0/15|NZ|apnic|2007-09-24|VOCUSGROUPNZ VocusGroup, NZ
122.172.58.135|/DigiByte:7.17.2/|70017|24560|122.172.32.0/19|IN|apnic|2006-12-19|AIRTELBROADBAND-AS-AP Bharti Airtel Ltd., Telemedia Services, IN
124.171.132.46|/DigiByte:7.17.2/|70017|7545|124.171.128.0/21|AU|apnic|2007-06-15|TPG-INTERNET-AP TPG Telecom Limited, AU
128.199.250.222|/DigiByte:7.17.2/|70017|14061|128.199.192.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
134.209.100.221|/digibyte-js:5.0.3/|70017|14061|134.209.96.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
134.209.76.157|/DigiByte:7.17.2/|70017|14061|134.209.64.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
135.181.0.35|/DigiByte:7.17.2/|70017|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
135.181.136.106|/DigiByte:7.17.2/|70017|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
136.24.44.100|/DigiByte:7.17.2/|70017|19165|136.24.0.0/16|US|arin|2016-10-31|WEBPASS, US
139.162.42.155|/DigiByte:7.17.3/|70017|63949|139.162.32.0/19|NL|ripencc|1990-03-24|LINODE-AP Linode, LLC, US
142.113.21.103|/DigiByte:7.17.3/|70017|577|142.113.0.0/16|CA|arin|1993-04-05|BACOM, CA
146.241.76.113|/DigiByte:7.17.3/|70017|35612|146.241.64.0/20|IT|ripencc|1993-03-03|NGI-AS, IT
147.135.76.240|/DigiByte:7.17.2/|70017|16276|147.135.0.0/17|US|arin|2017-03-22|OVH, FR
147.135.97.183|/DigiByte:7.17.2/|70017|16276|147.135.0.0/17|US|arin|2017-03-22|OVH, FR
149.56.155.28|/DigiByte:7.17.2/|70017|16276|149.56.0.0/16|CA|arin|2016-02-09|OVH, FR
159.48.55.71|/DigiByte:7.17.2/|70017|49981|159.48.55.0/24|DE|ripencc|1992-03-06|WORLDSTREAM, NL
159.89.126.193|/DigiByte:7.17.3/|70017|14061|159.89.112.0/20|US|arin|2017-07-07|DIGITALOCEAN-ASN, US
