# https://chainz.cryptoid.info/ and whois results
# DopeCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
101.185.200.119|/Dopecoin:4.0.0.5/|40001|1221|101.160.0.0/11|AU|apnic|2010-12-23|ASN-TELSTRA Telstra Corporation Ltd, AU
104.207.199.138|/Dopecoin:4.1.0.6/|40001|46887|104.207.192.0/19|US|arin|2014-10-06|LIGHTOWER, US
106.69.226.67|/DigiGreen Core:4.2.0/|40003|7545|106.69.224.0/19|AU|apnic|2011-04-04|TPG-INTERNET-AP TPG Telecom Limited, AU
107.198.57.205|/Dopecoin:4.0.0.4/|40001|7018|107.192.0.0/12|US|arin|2012-04-25|ATT-INTERNET4, US
110.146.136.11|/Dopecoin:4.0.0.5/|40001|1221|110.144.0.0/13|AU|apnic|2009-04-20|ASN-TELSTRA Telstra Corporation Ltd, AU
112.198.76.102|???|0|4775|112.198.0.0/16|PH|apnic|2009-02-12|GLOBE-TELECOM-AS Globe Telecoms, PH
112.198.76.126|???|0|4775|112.198.0.0/16|PH|apnic|2009-02-12|GLOBE-TELECOM-AS Globe Telecoms, PH
112.198.79.123|???|0|4775|112.198.0.0/16|PH|apnic|2009-02-12|GLOBE-TELECOM-AS Globe Telecoms, PH
121.122.104.206|/Dopecoin Core:4.1.0/|40002|9534|121.122.0.0/17|MY|apnic|2007-02-27|MAXIS-AS1-AP Binariang Berhad, MY
121.123.70.85|/Dopecoin Core:4.1.0/|40002|9534|121.123.0.0/17|MY|apnic|2007-02-27|MAXIS-AS1-AP Binariang Berhad, MY
135.23.228.90|/DigiGreen Core:4.2.0/|40003|5645|135.23.0.0/16|CA|arin|2013-05-09|TEKSAVVY, CA
138.197.187.54|/Dopecoin:4.0.0.4/|40001|14061|138.197.176.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
149.28.36.189|/Dopecoin:4.0.0.6/|40001|20473|149.28.32.0/19|US|arin|2018-05-04|AS-CHOOPA, US
151.231.133.194|/DigiGreen Core:4.2.0/|40003|5607|151.224.0.0/13|GB|ripencc|2012-08-09|BSKYB-BROADBAND-AS, GB
154.21.212.197|/DigiGreen Core:4.2.0/|40003|174|154.21.0.0/16|US|arin|1992-02-05|COGENT-174, US
154.21.212.210|/DigiGreen Core:4.2.0/|40003|174|154.21.0.0/16|US|arin|1992-02-05|COGENT-174, US
154.21.212.26|/DigiGreen Core:4.2.0/|40003|174|154.21.0.0/16|US|arin|1992-02-05|COGENT-174, US
154.21.212.43|/DigiGreen Core:4.2.0/|40003|174|154.21.0.0/16|US|arin|1992-02-05|COGENT-174, US
154.21.212.60|/Dopecoin Core:4.1.0/|40002|174|154.21.0.0/16|US|arin|1992-02-05|COGENT-174, US
154.21.216.116|/DigiGreen Core:4.2.0/|40003|174|154.21.0.0/16|US|arin|1992-02-05|COGENT-174, US
154.21.216.146|/DigiGreen Core:4.2.0/|40003|174|154.21.0.0/16|US|arin|1992-02-05|COGENT-174, US
154.21.216.163|/DigiGreen Core:4.2.0/|40003|174|154.21.0.0/16|US|arin|1992-02-05|COGENT-174, US
154.21.216.186|/DigiGreen Core:4.2.0/|40003|174|154.21.0.0/16|US|arin|1992-02-05|COGENT-174, US
