# https://chainz.cryptoid.info/ and whois results
# EverGreenCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
100.18.7.97|/EverGreenCoin:1.9.0/|80015|701|100.18.0.0/16|US|arin|2010-12-28|UUNET, US
105.161.7.194|/EverGreenCoin:1.9.0/|80015|33771|105.161.0.0/16|KE|afrinic|2012-12-13|SAFARICOM-LIMITED, KE
107.15.220.153|/EverGreenCoin:1.8.0.1/|80015|11426|107.15.128.0/17|US|arin|2010-09-23|TWC-11426-CAROLINAS, US
108.61.216.195|/EverGreenCoin:1.9.2/|80015|20473|108.61.216.0/22|US|arin|2010-12-08|AS-CHOOPA, US
136.24.173.82|/EverGreenCoin:1.8.4/|80015|19165|136.24.0.0/16|US|arin|2016-10-31|WEBPASS, US
172.116.58.113|/EverGreenCoin:1.9.0/|80015|20001|172.112.0.0/13|US|arin|2015-06-19|TWC-20001-PACWEST, US
178.115.36.163|/EverGreenCoin:1.9.0/|80015|25255|178.115.32.0/19|AT|ripencc|2010-01-12|H3G-AUSTRIA-AS TELE2 AUSTRIA , AT
178.115.38.61|/EverGreenCoin:1.9.0/|80015|25255|178.115.32.0/19|AT|ripencc|2010-01-12|H3G-AUSTRIA-AS TELE2 AUSTRIA , AT
185.92.223.144|/EverGreenCoin:1.8.3/|80015|20473|185.92.222.0/23|US|ripencc|2015-03-20|AS-CHOOPA, US
190.96.1.19|/EverGreenCoin:1.8.4/|80015|18822|190.96.1.0/24|CL|lacnic|2007-07-19|Manquehuenet, CL
218.208.179.28|/EverGreenCoin:1.9.0/|80015|4788|218.208.160.0/19|MY|apnic|2003-03-14|TMNET-AS-AP TM Net, Internet Service Provider, MY
24.208.214.108|/EverGreenCoin:1.9.2/|80015|10796|24.208.192.0/18|US|arin|2001-06-29|TWC-10796-MIDWEST, US
45.32.178.232|/EverGreenCoin:1.9.2/|80015|20473|45.32.176.0/21|US|arin|2015-02-17|AS-CHOOPA, US
46.101.235.143|/EverGreenCoin:1.8.3/|80015|14061|46.101.128.0/17|US|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
65.43.35.14|/EverGreenCoin:1.9.0/|80015|7018|65.42.0.0/15|US|arin|2001-04-05|ATT-INTERNET4, US
67.140.167.185|/EverGreenCoin:1.9.0/|80015|7029|67.140.0.0/15|US|arin|2003-11-18|WINDSTREAM, US
71.213.77.109|/EverGreenCoin:1.9.2/|80015|209|71.213.0.0/16|US|arin|2005-05-06|CENTURYLINK-US-LEGACY-QWEST, US
72.23.124.232|/EverGreenCoin:1.9.0/|80015|27364|72.23.96.0/19|US|arin|2004-12-06|ACS-INTERNET, US
72.23.137.16|/EverGreenCoin:1.7.3.1/|80015|27364|72.23.128.0/19|US|arin|2004-12-06|ACS-INTERNET, US
73.248.74.181|/EverGreenCoin:1.9.1/|80015|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
73.79.159.242|/EverGreenCoin:1.9.0/|80015|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
81.182.216.44|/EverGreenCoin:1.7.3.1/|80015|5483|81.182.0.0/15|HU|ripencc|2003-02-05|MAGYAR-TELEKOM-MAIN-AS Magyar Telekom Nyrt., HU
82.38.223.184|/EverGreenCoin:1.9.0/|80015|5089|82.38.0.0/16|GB|ripencc|2003-01-31|NTL, GB
84.71.106.14|/EverGreenCoin:1.9.0/|80015|5378|84.64.0.0/13|GB|ripencc|2004-03-15|Vodafone, GB
85.9.20.146|/EverGreenCoin:1.9.0/|80015|5606|85.9.0.0/18|RO|ripencc|2005-02-11|GTS-BACKBONE GTS Telecom, RO
89.40.121.11|/EverGreenCoin:1.9.2/|80015|199883|89.40.120.0/22|IT|ripencc|2005-11-29|ARUBACLOUDLTD-ASN, GB
92.41.146.149|/EverGreenCoin:1.9.0/|80015|206067|92.41.144.0/21|GB|ripencc|2007-11-21|H3GUK, GB
94.130.220.87|/EverGreenCoin:1.9.1/|80015|24940|94.130.0.0/16|DE|ripencc|2008-06-23|HETZNER-AS, DE
95.217.78.169|/EverGreenCoin:1.8.4/|80015|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.90.233.254|/EverGreenCoin:1.9.0/|80015|3209|95.88.0.0/14|DE|ripencc|2008-12-15|VODANET International IP-Backbone of Vodafone, DE
