# https://chainz.cryptoid.info/ and whois results
# GoldCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
101.128.86.210|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.1/|70000|135478|101.128.86.0/23|ID|apnic|2011-03-03|ASN-CBNBROADBAND PT. Cyberindo Aditama, ID
101.128.87.222|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.1/|70000|135478|101.128.86.0/23|ID|apnic|2011-03-03|ASN-CBNBROADBAND PT. Cyberindo Aditama, ID
101.255.117.194|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.1/|70000|38511|101.255.117.0/24|ID|apnic|2011-03-02|TACHYON-AS-ID PT Remala Abadi, ID
102.176.65.53|/goldcoinj:0.14.8/GoldCoin Wallet:6.33.1/|70000|29614|102.176.65.0/24|GH|afrinic|2017-12-15|GHANATEL-AS, GH
103.105.31.105|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.1/|70000|45727|103.105.31.0/24|ID|apnic|2017-12-04|THREE-AS-ID Hutchison CP Telecommunications, PT, ID
103.105.33.89|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.1/|70000|45727|103.105.33.0/24|ID|apnic|2017-12-04|THREE-AS-ID Hutchison CP Telecommunications, PT, ID
103.105.35.83|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.1/|70000|45727|103.105.35.0/24|ID|apnic|2017-12-04|THREE-AS-ID Hutchison CP Telecommunications, PT, ID
103.111.141.192|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.0/|70000|141461|103.111.141.0/24|ID|apnic|2018-03-16|MNCKABELMEDIACOM-AS PT. MNC Kabel Mediacom, ID
103.122.67.21|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|138064|103.122.67.0/24|ID|apnic|2018-09-12|JINOM-AS-ID PT. Jinom Network Indonesia, ID
103.133.56.221|/GoldcoinCore:0.14.7/|70015|138131|103.133.56.0/24|ID|apnic|2019-01-22|IDNIC-NATANET-AS-ID CV. NATANETWORK SOLUTION, ID
103.147.82.248|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.1/|70000|139958|103.147.82.0/24|ID|apnic|2020-01-07|FAKTAJI-AS-ID PT Fakta Jabbar Industri, ID
103.152.232.126|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000|140446|103.152.232.0/24|ID|apnic|2020-07-03|IDNIC-KINGPOLAH-AS-ID PT Kingpolah Network Solutions, ID
103.156.119.242|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.1/|70000|63859|103.156.119.0/24|ID|apnic|2020-09-24|MYREPUBLIC-AS-ID PT. Eka Mas Republik, ID
103.247.196.199|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000|55699|103.247.196.0/23|ID|apnic|2012-02-03|STARNET-AS-ID PT. Cemerlang Multimedia, ID
103.44.37.175|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000|133798|103.44.37.0/24|ID|apnic|2014-12-02|SMARTFREN-AS-ID PT. Smartfren Telecom, Tbk, ID
103.78.114.87|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000|131111|103.78.114.0/24|ID|apnic|2016-11-02|CEPATNET-AS-ID PT Mora Telematika Indonesia, ID
103.87.230.245|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000|136088|103.87.230.0/24|ID|apnic|2017-03-14|ZITLINE-AS-ID PT. Araz Inti Line, ID
103.87.230.249|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000|136088|103.87.230.0/24|ID|apnic|2017-03-14|ZITLINE-AS-ID PT. Araz Inti Line, ID
107.152.42.126|/GoldcoinCore:0.14.6/|70015|11878|107.152.42.0/24|US|arin|2013-12-03|TZULO, US
109.116.146.99|/GoldcoinCore:0.14.4/|70015|30722|109.116.0.0/15|IT|ripencc|2009-06-12|VODAFONE-IT-ASN, IT
110.136.194.101|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.1/|70000|7713|110.136.192.0/22|ID|apnic|2009-04-20|TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
110.136.211.70|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000|7713|110.136.208.0/21|ID|apnic|2009-04-20|TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
110.137.100.234|???|0|7713|110.137.100.0/22|ID|apnic|2009-04-20|TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
110.137.100.252|/goldwallet:1.0.9/|70000|7713|110.137.100.0/22|ID|apnic|2009-04-20|TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
