# https://chainz.cryptoid.info/ and whois results
# Groestlcoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.243.173.214|/Groestlcoin:2.21.0/|70016|59210|103.243.173.0/24|SG|apnic|2013-10-15|PHOENIXNAP-AS-SG1 PhoenixNAP, SG
104.236.15.120|/Groestlcoin:2.21.1/|70016|14061|104.236.0.0/18|US|arin|2014-10-28|DIGITALOCEAN-ASN, US
104.238.173.198|/Groestlcoin:2.21.1/|70016|20473|104.238.168.0/21|US|arin|2014-11-13|AS-CHOOPA, US
104.238.191.11|/Groestlcoin:2.21.1/|70016|20473|104.238.188.0/22|US|arin|2014-11-13|AS-CHOOPA, US
120.133.230.86|/Groestlcoin:2.17.2/|70015|4812|120.133.228.0/22|CN|apnic|2008-04-04|CHINANET-SH-AP China Telecom Group, CN
128.199.242.30|/Groestlcoin:2.21.1/|70016|14061|128.199.192.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
138.68.131.210|/Groestlcoin:2.21.1/|70016|14061|138.68.128.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
143.198.121.253|/Groestlcoin:2.21.0/|70016|14061|143.198.112.0/20|US|arin|2020-01-24|DIGITALOCEAN-ASN, US
145.239.0.106|/Groestlcoin:2.21.0/|70016|16276|145.239.0.0/16|FR|ripencc|1993-08-03|OVH, FR
159.69.124.12|/Groestlcoin:2.21.0/|70016|24940|159.69.0.0/16|DE|ripencc|1992-03-13|HETZNER-AS, DE
159.69.37.34|/Groestlcoin:2.17.2/|70015|24940|159.69.0.0/16|DE|ripencc|1992-03-13|HETZNER-AS, DE
161.97.83.204|/Groestlcoin:21.99.0/|70016|51167|161.97.82.0/23|DE|ripencc|1992-06-23|CONTABO, DE
162.243.116.31|/Groestlcoin:2.21.1/|70016|14061|162.243.0.0/17|US|arin|2013-09-06|DIGITALOCEAN-ASN, US
163.172.63.119|/Groestlcoin:2.19.1/|70015|12876|163.172.0.0/16|GB|ripencc|1992-02-14|Online SAS, FR
175.125.95.69|/Groestlcoin:2.17.2/|70015|9318|175.120.0.0/13|KR|apnic|2009-12-17|SKB-AS SK Broadband Co Ltd, KR
185.113.128.13|/Groestlcoin:2.17.2/|70015|42831|185.113.128.0/23|GB|ripencc|2015-08-14|UKSERVERS-AS UK Dedicated Servers, Hosting and Co-Location, GB
185.185.41.83|/Groestlcoin:2.21.0/|70016|62240|185.185.41.0/24|US|ripencc|2017-01-10|CLOUVIDER Clouvider - Global ASN, GB
188.166.19.174|/Groestlcoin:2.17.2/|70015|14061|188.166.0.0/18|US|ripencc|2009-06-05|DIGITALOCEAN-ASN, US
188.79.102.49|/Groestlcoin:2.21.0/|70016|12479|188.79.100.0/22|ES|ripencc|2011-01-04|UNI2-AS, ES
193.70.35.154|/Groestlcoin:2.21.1/|70016|16276|193.70.0.0/17|FR|ripencc|1993-09-01|OVH, FR
195.72.211.118|/Groestlcoin:2.21.0/|70016|8224|195.72.192.0/19|IT|ripencc|1997-04-03|INTERCOM-AS Vaprio DAgogna Novara, IT
198.211.119.234|/Groestlcoin:2.21.1/|70016|14061|198.211.118.0/23|US|arin|2013-02-15|DIGITALOCEAN-ASN, US
199.247.31.182|/grswire:0.5.0/grsd:0.20.1/|70013|20473|199.247.24.0/21|US|ripencc|1996-04-09|AS-CHOOPA, US
24.203.108.165|/Groestlcoin:2.21.0/|70016|5769|24.203.64.0/18|CA|arin|1999-04-15|VIDEOTRON, CA
3.112.35.208|/Groestlcoin:2.21.1/|70016|16509|3.112.0.0/14|US|arin|2017-12-20|AMAZON-02, US
3.121.247.139|/Groestlcoin:2.21.0/|70016|16509|3.120.0.0/14|US|arin|2017-12-20|AMAZON-02, US
34.225.224.198|/Groestlcoin:2.21.1/|70016|14618|34.224.0.0/12|US|arin|2016-09-12|AMAZON-AES, US
40.118.232.138|/Groestlcoin:2.21.1/|70016|8075|40.112.0.0/13|US|arin|2015-02-23|MICROSOFT-CORP-MSN-AS-BLOCK, US
45.55.208.60|/Groestlcoin:2.21.1/|70016|14061|45.55.192.0/18|US|arin|2015-02-05|DIGITALOCEAN-ASN, US
45.55.58.160|/Groestlcoin:2.21.1/|70016|14061|45.55.32.0/19|US|arin|2015-02-05|DIGITALOCEAN-ASN, US
45.63.25.237|/Groestlcoin:2.21.1/|70016|20473|45.63.24.0/21|US|arin|2015-01-02|AS-CHOOPA, US
46.101.148.45|/Groestlcoin:2.21.1/|70016|14061|46.101.128.0/17|US|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
46.101.235.143|/Groestlcoin:2.17.2/|70015|14061|46.101.128.0/17|US|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
47.75.117.16|/Groestlcoin:2.18.2/|70015|45102|47.75.0.0/17|US|arin|2016-03-17|CNNIC-ALIBABA-US-NET-AP Alibaba US Technology Co., Ltd., CN
49.12.103.8|/Groestlcoin:2.21.0/|70016|24940|49.12.0.0/16|DE|ripencc|2010-10-21|HETZNER-AS, DE
51.195.31.241|/Groestlcoin:2.21.0/|70016|16276|51.195.0.0/16|FR|ripencc|1993-09-01|OVH, FR
51.195.31.243|/Groestlcoin:2.21.0/|70016|16276|51.195.0.0/16|FR|ripencc|1993-09-01|OVH, FR
52.194.107.16|/Groestlcoin:2.21.1/|70016|16509|52.194.0.0/15|US|arin|2015-09-02|AMAZON-02, US
54.199.232.136|/Groestlcoin:2.21.1/|70016|16509|54.199.128.0/17|US|arin|2014-10-23|AMAZON-02, US
76.69.230.65|/Groestlcoin:2.17.2/|70015|577|76.69.0.0/16|CA|arin|2006-12-04|BACOM, CA
77.250.10.206|/Groestlcoin:2.13.3/|70015|33915|77.250.0.0/15|NL|ripencc|2007-01-26|TNF-AS, NL
82.196.1.71|/Groestlcoin:2.21.1/|70016|14061|82.196.0.0/20|US|ripencc|2003-10-27|DIGITALOCEAN-ASN, US
82.196.13.206|/Groestlcoin:2.21.1/|70016|14061|82.196.0.0/20|US|ripencc|2003-10-27|DIGITALOCEAN-ASN, US
84.118.109.49|/Groestlcoin:2.21.0/|70016|3209|84.118.0.0/16|NL|ripencc|2004-04-07|VODANET International IP-Backbone of Vodafone, DE
84.241.200.209|/groestlwallet:0.7.6/|70015|31615|84.241.192.0/18|NL|ripencc|2004-06-23|TMO-NL-AS, NL
88.99.95.216|/Groestlcoin:2.21.0/|70016|24940|88.99.0.0/16|DE|ripencc|2005-08-03|HETZNER-AS, DE
95.85.14.64|/Groestlcoin:2.21.1/|70016|14061|95.85.0.0/18|US|ripencc|2008-12-29|DIGITALOCEAN-ASN, US
95.85.49.153|/Groestlcoin:2.21.1/|70016|14061|95.85.0.0/18|US|ripencc|2008-12-29|DIGITALOCEAN-ASN, US
