# https://chainz.cryptoid.info/ and whois results
# Guncoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
1.163.115.103|/Guncoin:2.0.0/|70210|3462|1.163.0.0/16|TW|apnic|2010-05-05|HINET Data Communication Business Group, TW
1.163.125.159|/Guncoin:2.0.0/|70210|3462|1.163.0.0/16|TW|apnic|2010-05-05|HINET Data Communication Business Group, TW
100.1.40.9|/Guncoin:2.0.0/|70210|701|100.1.0.0/16|US|arin|2010-12-28|UUNET, US
104.236.14.219|/Guncoin:2.0.0/|70210|14061|104.236.0.0/18|US|arin|2014-10-28|DIGITALOCEAN-ASN, US
124.148.21.35|/Guncoin:2.0.0/|70210|4739|124.148.20.0/22|AU|apnic|2006-03-02|INTERNODE-AS Internode Pty Ltd, AU
135.181.211.44|/Guncoin:2.0.0/|70210|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
136.32.139.25|/Guncoin:2.0.0/|70210|16591|136.32.128.0/20|US|arin|2015-10-06|GOOGLE-FIBER, US
144.202.61.181|/Guncoin:2.0.0/|70210|20473|144.202.48.0/20|US|arin|2018-02-05|AS-CHOOPA, US
149.56.155.28|/Guncoin:2.0.0/|70210|16276|149.56.0.0/16|CA|arin|2016-02-09|OVH, FR
157.90.181.171|/Guncoin:2.0.0/|70210|24940|157.90.0.0/16|DE|ripencc|1996-12-16|HETZNER-AS, DE
159.65.230.182|/Guncoin:2.0.0/|70210|14061|159.65.224.0/20|US|arin|2017-10-24|DIGITALOCEAN-ASN, US
164.68.102.164|/Guncoin:2.0.0/|70210|51167|164.68.102.0/23|DE|ripencc|1992-12-17|CONTABO, DE
167.86.103.116|/Guncoin:2.0.0/|70210|51167|167.86.102.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.116.187|/Guncoin:2.0.0/|70210|51167|167.86.116.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.124.245|/Guncoin:2.0.0/|70210|51167|167.86.124.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.124.248|/Guncoin:2.0.0/|70210|51167|167.86.124.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.85.248|/Guncoin:2.0.0/|70210|51167|167.86.84.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.88.137|/Guncoin:2.0.0/|70210|51167|167.86.88.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.88.172|/Guncoin:2.0.0/|70210|51167|167.86.88.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.89.215|/Guncoin:2.0.0/|70210|51167|167.86.88.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.91.152|/Guncoin:2.0.0/|70210|51167|167.86.90.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.94.165|/Guncoin:2.0.0/|70210|51167|167.86.94.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.97.17|/Guncoin:2.0.0/|70210|51167|167.86.96.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.97.25|/Guncoin:2.0.0/|70210|51167|167.86.96.0/23|DE|ripencc|1993-05-14|CONTABO, DE
173.249.12.82|/Guncoin:2.0.0/|70210|51167|173.249.12.0/23|DE|ripencc|2010-05-26|CONTABO, DE
173.249.54.29|/Guncoin:2.0.0/|70210|51167|173.249.54.0/23|DE|ripencc|2010-05-26|CONTABO, DE
174.7.171.10|/Guncoin:2.0.0/|70210|6327|174.7.168.0/22|CA|arin|2008-11-19|SHAW, CA
178.254.12.231|/Guncoin:2.0.0/|70210|42730|178.254.0.0/19|DE|ripencc|2010-06-18|EVANZOAS, DE
178.62.63.141|/Guncoin:2.0.0/|70210|14061|178.62.0.0/18|US|ripencc|2010-02-26|DIGITALOCEAN-ASN, US
188.166.30.203|/Guncoin:2.0.0/|70210|14061|188.166.0.0/18|US|ripencc|2009-06-05|DIGITALOCEAN-ASN, US
188.179.187.109|/Guncoin:2.0.0/|70210|3292|188.176.0.0/13|DK|ripencc|2009-05-04|TDC TDC A/S, DK
192.241.198.21|/Guncoin:2.0.0/|70210|14061|192.241.192.0/19|US|arin|2013-06-10|DIGITALOCEAN-ASN, US
195.201.160.242|/Guncoin:2.0.0/|70210|24940|195.201.0.0/16|DE|ripencc|1997-09-22|HETZNER-AS, DE
195.201.164.117|/Guncoin:2.0.0/|70210|24940|195.201.0.0/16|DE|ripencc|1997-09-22|HETZNER-AS, DE
203.198.146.232|/Guncoin:2.0.0/|70210|4760|203.198.144.0/20|HK|apnic|2000-07-12|HKTIMS-AP HKT Limited, HK
207.180.193.26|/Guncoin:2.0.0/|70210|51167|207.180.192.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.180.201.216|/Guncoin:2.0.0/|70210|51167|207.180.200.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.180.204.56|/Guncoin:2.0.0/|70210|51167|207.180.204.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.246.96.211|/Guncoin:2.0.0/|70210|20473|207.246.96.0/20|US|arin|2017-10-13|AS-CHOOPA, US
213.32.6.132|/Guncoin:2.0.0/|70210|16276|213.32.0.0/17|FR|ripencc|1999-06-28|OVH, FR
23.233.55.92|/Guncoin:2.0.0/|70210|5645|23.233.0.0/17|CA|arin|2013-09-24|TEKSAVVY, CA
45.131.194.200|/Guncoin:2.0.0/|70210|62904|45.131.194.0/24|NL|ripencc|2019-07-22|EONIX-COMMUNICATIONS-ASBLOCK-62904, US
46.23.35.70|/Guncoin:2.0.0/|70210|24651|46.23.32.0/20|LV|ripencc|2010-12-02|LVBALTICOM-AS, LV
46.88.42.105|/Guncoin:2.0.0/|70210|3320|46.80.0.0/12|DE|ripencc|2010-06-07|DTAG Internet service provider operations, DE
54.188.46.182|/Guncoin:2.0.0/|70210|16509|54.188.0.0/15|US|arin|2014-10-23|AMAZON-02, US
62.171.132.115|/Guncoin:2.0.0/|70210|51167|62.171.132.0/23|DE|ripencc|2000-08-18|CONTABO, DE
62.171.163.7|/Guncoin:2.0.0/|70210|51167|62.171.162.0/23|DE|ripencc|2000-08-18|CONTABO, DE
66.70.182.1|/Guncoin:2.0.0/|70210|16276|66.70.128.0/17|CA|arin|2017-02-13|OVH, FR
70.91.250.149|/Guncoin:2.0.0/|70210|7922|70.88.0.0/14|US|arin|2004-08-09|COMCAST-7922, US
74.222.5.167|/Guncoin:2.0.0/|70210|22439|74.222.5.0/24|US|arin|2007-01-29|PERFECT-INTERNATIONAL, US
74.222.5.168|/Guncoin:2.0.0/|70210|22439|74.222.5.0/24|US|arin|2007-01-29|PERFECT-INTERNATIONAL, US
76.184.112.131|/Guncoin:2.0.0/|70210|11427|76.184.0.0/14|US|arin|2006-07-26|TWC-11427-TEXAS, US
81.169.207.150|/Guncoin:2.0.0/|70210|6724|81.169.128.0/17|DE|ripencc|2003-04-17|STRATO STRATO AG, DE
91.17.221.49|/Guncoin:2.0.0/|70210|3320|91.0.0.0/10|DE|ripencc|2006-07-03|DTAG Internet service provider operations, DE
92.32.92.192|/Guncoin:2.0.0/|70210|2119|92.32.0.0/14|SE|ripencc|2007-11-28|TELENOR-NEXTEL Telenor Norge AS, NO
95.216.32.169|/Guncoin:2.0.0/|70210|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.145.114|/Guncoin:2.0.0/|70210|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
96.71.246.90|/Guncoin:2.0.0/|70210|7922|96.64.0.0/11|US|arin|2008-02-21|COMCAST-7922, US
