# https://chainz.cryptoid.info/ and whois results
# HTMLCOIN
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
110.35.171.87|/HTMLCOIN:2.5.1/|70017|7562|110.35.168.0/22|KR|apnic|2009-03-04|HCNSEOCHO-AS-KR HCN Dongjak, KR
117.229.150.219|/HTMLCOIN:2.5.1/|70017|9829|117.229.144.0/20|IN|apnic|2007-08-01|BSNL-NIB National Internet Backbone, IN
117.229.171.31|/HTMLCOIN:2.5.1/|70017|9829|117.229.160.0/20|IN|apnic|2007-08-01|BSNL-NIB National Internet Backbone, IN
179.110.223.11|/HTMLCOIN:2.5.1/|70017|27699|179.110.0.0/16|BR|lacnic|2013-08-02|TELEFONICA BRASIL S.A, BR
182.52.89.126|/HTMLCOIN:2.5.1/|70017|23969|182.52.89.0/24|TH|apnic|2010-02-25|TOT-NET TOT Public Company Limited, TH
185.203.116.113|???|0|44901|185.203.116.0/24|CY|ripencc|2017-05-12|BELCLOUD, BG
187.108.255.17|/HTMLCOIN:2.5.1/|70017|263415|187.108.255.0/24|BR|lacnic|2009-12-10|EGR NET TELECOMUNICACOES LTDA, BR
187.120.145.234|/HTMLCOIN:2.5.1/|70017|262272|187.120.144.0/23|BR|lacnic|2010-02-18|FIT Telecom Eireli, BR
188.241.83.108|/HTMLCOIN:2.5.0/|70017|9009|188.241.83.0/24|RO|ripencc|2009-06-23|M247, GB
34.221.33.82|/HTMLCOIN:2.5.0/|70017|16509|34.208.0.0/12|US|arin|2016-09-12|AMAZON-02, US
37.120.131.6|/HTMLCOIN:2.5.1/|70017|9009|37.120.131.0/24|RO|ripencc|2012-02-13|M247, GB
45.7.198.213|/HTMLCOIN:2.5.1/|70017|266608|45.7.198.0/23|BR|lacnic|2017-06-06|Ola Fibra Telecomunicacoes LTDA, BR
46.174.130.230|/HTMLCOIN:2.5.1/|70017|24642|46.174.128.0/22|NL|ripencc|2010-12-29|NL-CAVEO, NL
60.67.231.65|/HTMLCOIN:2.5.1/|70017|17676|60.67.0.0/16|JP|apnic|2004-05-20|GIGAINFRA Softbank BB Corp., JP
73.113.98.137|/HTMLCOIN:2.5.1/|70017|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
73.179.6.207|/HTMLCOIN:2.5.1/|70017|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
73.23.189.226|/HTMLCOIN:2.5.0/|70017|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
76.124.21.114|/HTMLCOIN:2.5.1/|70017|7922|76.96.0.0/11|US|arin|2007-01-02|COMCAST-7922, US
95.93.11.209|/HTMLCOIN:2.5.1/|70017|2860|95.93.0.0/18|PT|ripencc|2008-12-15|NOS_COMUNICACOES, PT
