# https://chainz.cryptoid.info/ and whois results
# Litecoin Cash
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
100.14.220.64|/LitecoinCashCore:0.16.1.3/|70015|701|100.14.0.0/16|US|arin|2010-12-28|UUNET, US
102.223.228.1|/LitecoinCashCore:0.16.2/|70015|328660|102.223.228.0/23|ZA|afrinic|2020-05-22|DavoCorp-AS, ZA
104.137.75.119|/LitecoinCashCore:0.16.1.3/|70015|33363|104.137.64.0/20|US|arin|2014-06-04|BHN-33363, US
104.62.31.116|/LitecoinCashCore:0.16.1.3/|70015|7018|104.48.0.0/12|US|arin|2014-05-06|ATT-INTERNET4, US
108.86.179.233|/LitecoinCashCore:0.16.2/|70015|7018|108.64.0.0/11|US|arin|2009-10-29|ATT-INTERNET4, US
109.182.44.14|/LitecoinCashCore:0.16.1.3/|70015|5603|109.182.0.0/17|SI|ripencc|2009-09-25|SIOL-NET Telekom Slovenije d.d., SI
109.254.60.227|/LitecoinCashCore:0.16.2/|70015|20590|109.254.32.0/19|UA|ripencc|2009-12-10|DEC-AS, UA
110.20.110.67|/LitecoinCashCore:0.16.1.3/|70015|4804|110.20.0.0/17|AU|apnic|2009-02-24|MPX-AS Microplex PTY LTD, AU
113.154.29.109|/LitecoinCashCore:0.16.1.3/|70015|2516|113.154.0.0/16|JP|apnic|2008-11-10|KDDI KDDI CORPORATION, JP
116.202.129.35|/LitecoinCashCore:0.16.1.3/|70015|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.202.132.28|/LitecoinCashCore:0.16.1.3/|70015|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.202.241.54|/LitecoinCashCore:0.16.1.3/|70015|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
118.209.211.91|/LitecoinCashCore:0.16.2/|70015|7545|118.209.208.0/22|AU|apnic|2008-10-13|TPG-INTERNET-AP TPG Telecom Limited, AU
