# https://chainz.cryptoid.info/ and whois results
# NavCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
100.1.213.148|/Navcoin:6.1.0/|80021|701|100.1.0.0/16|US|arin|2010-12-28|UUNET, US
100.4.104.17|/Navcoin:6.1.0/|80021|701|100.4.0.0/17|US|arin|2010-12-28|UUNET, US
101.98.142.11|/Navcoin:6.1.0/|80021|9790|101.98.0.0/16|NZ|apnic|2010-12-22|VOCUSGROUPNZ VocusGroup, NZ
107.12.16.18|/Navcoin:6.1.0/|80021|11426|107.12.0.0/17|US|arin|2010-09-23|TWC-11426-CAROLINAS, US
108.161.125.188|/Navcoin:6.1.0/|80021|5645|108.161.112.0/20|CA|arin|2011-10-25|TEKSAVVY, CA
108.56.252.101|/Navcoin:6.1.0/|80021|701|108.56.0.0/16|US|arin|2009-06-05|UUNET, US
109.200.245.177|/Navcoin:6.1.0/|80021|34661|109.200.224.0/19|UA|ripencc|2010-02-10|BREEZE-NETWORK, UA
109.252.87.70|/Navcoin:6.1.0/|80021|25513|109.252.0.0/16|RU|ripencc|2009-12-07|ASN-MGTS-USPD, RU
109.86.81.235|/Navcoin:6.1.0/|80021|13188|109.86.81.0/24|UA|ripencc|2009-08-20|TRIOLAN, UA
112.213.198.192|/Navcoin:6.1.0/|80021|136994|112.213.192.0/20|AU|apnic|2009-02-19|SOUTHERNPHONE-AS-AP Southern Phone Company Ltd, AU
113.165.22.210|/Navcoin:6.1.0/|80021|45899|113.165.16.0/20|VN|apnic|2008-11-04|VNPT-AS-VN VNPT Corp, VN
114.23.95.102|/Navcoin:6.1.0/|80021|56030|114.23.0.0/16|NZ|apnic|2011-01-10|VOYAGERNET-AS-AP Voyager Internet Ltd., NZ
116.48.187.190|/Navcoin:6.1.0/|80021|4760|116.48.160.0/19|HK|apnic|2007-03-16|HKTIMS-AP HKT Limited, HK
121.98.157.149|/Navcoin:6.1.0/|80021|9790|121.98.0.0/15|NZ|apnic|2007-09-24|VOCUSGROUPNZ VocusGroup, NZ
123.3.238.46|/Navcoin:6.1.0/|80021|9443|123.3.0.0/16|AU|apnic|2007-01-05|VOCUS-RETAIL-AU Vocus Retail, AU
124.197.40.153|/Navcoin:6.1.0/|80021|9790|124.197.0.0/18|NZ|apnic|2006-04-12|VOCUSGROUPNZ VocusGroup, NZ
125.168.102.223|/Navcoin:6.1.0/|80021|9443|125.168.0.0/16|AU|apnic|2005-09-08|VOCUS-RETAIL-AU Vocus Retail, AU
13.209.243.246|/Navcoin:6.1.0/|80021|16509|13.209.0.0/16|US|arin|2019-10-01|AMAZON-02, US
135.181.111.29|/Navcoin:6.1.0/|80021|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
137.74.94.192|/Navcoin:6.1.0/|80021|16276|137.74.0.0/16|FR|ripencc|1988-11-23|OVH, FR
139.28.218.181|/Navcoin:6.1.0/|80021|9009|139.28.218.0/24|RO|ripencc|2019-01-04|M247, GB
139.28.218.182|/Navcoin:6.1.0/|80021|9009|139.28.218.0/24|RO|ripencc|2019-01-04|M247, GB
142.185.183.141|/Navcoin:6.1.0/|80021|577|142.185.176.0/20|CA|arin|1992-08-27|BACOM, CA
145.14.211.31|/Navcoin:6.1.0/|80021|61174|145.14.208.0/20|CH|ripencc|1993-09-01|GLATTWERK Usterstrasse 111, CH
154.21.20.133|/Navcoin:6.1.0/|80021|174|154.21.0.0/16|US|arin|1992-02-05|COGENT-174, US
154.67.199.51|/Navcoin:6.1.0/|80021|21351|154.67.128.0/17|RE|afrinic|2014-02-10|CANALPLUSTELECOM, GP
157.90.145.213|/Navcoin:6.1.0/|80021|24940|157.90.0.0/16|DE|ripencc|1996-12-16|HETZNER-AS, DE
157.90.223.151|/Navcoin:6.1.0/|80021|24940|157.90.0.0/16|DE|ripencc|1996-12-16|HETZNER-AS, DE
159.146.40.196|/Navcoin:6.1.0/|80021|12735|159.146.40.0/22|TR|ripencc|2011-08-24|ASTURKNET, TR
160.248.213.177|/NavCoin:6.0.0/|80020|2514|160.248.208.0/20|JP|apnic|1993-04-19|INFOSPHERE NTT PC Communications, Inc., JP
162.55.38.248|/Navcoin:6.1.0/|80021|24940|162.55.0.0/16|DE|ripencc|1992-08-03|HETZNER-AS, DE
164.132.207.77|/Navcoin:6.1.0/|80021|16276|164.132.0.0/16|FR|ripencc|1993-04-23|OVH, FR
