# https://chainz.cryptoid.info/ and whois results
# Noir
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.230.122.129|/Noir Core:2.2.0/|90049|10796|104.230.0.0/17|US|arin|2014-10-07|TWC-10796-MIDWEST, US
104.244.76.13|/Noir Core:2.2.0/|90049|53667|104.244.76.0/24|US|arin|2014-11-10|PONYNET, US
108.244.235.225|/Noir Core:2.2.0/|90049|7018|108.192.0.0/10|US|arin|2011-01-12|ATT-INTERNET4, US
108.7.205.16|/Noir Core:2.2.0/|90049|701|108.7.0.0/16|US|arin|2009-06-05|UUNET, US
109.194.51.140|/Noir Core:2.2.0/|90049|59713|109.194.48.0/20|RU|ripencc|2009-10-27|ERTH-KURSK-AS, RU
109.252.188.43|/Noir Core:2.2.0/|90049|25513|109.252.0.0/16|RU|ripencc|2009-12-07|ASN-MGTS-USPD, RU
113.16.31.128|/Noir Core:2.2.0/|90049|4134|113.16.0.0/15|CN|apnic|2008-09-18|CHINANET-BACKBONE No.31,Jin-rong Street, CN
116.202.172.79|/Noir Core:2.2.0.0/|90049|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.203.133.204|/Noir Core:2.2.0/|90049|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
135.181.164.190|/Noir Core:2.2.0/|90049|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
135.181.183.38|/Noir Core:2.2.0/|90049|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
167.114.208.234|/Noir Core:2.2.0/|90049|16276|167.114.192.0/19|CA|arin|2014-08-29|OVH, FR
167.86.120.29|/Noir Core:2.2.0/|90049|51167|167.86.120.0/23|DE|ripencc|1993-05-14|CONTABO, DE
171.25.193.25|/Noir Core:2.2.0/|90049|198093|171.25.193.0/24|SE|ripencc|2012-01-13|DFRI-AS Foreningen for digitala fri- och rattigheter, SE
171.25.193.78|/Noir Core:2.2.0/|90049|198093|171.25.193.0/24|SE|ripencc|2012-01-13|DFRI-AS Foreningen for digitala fri- och rattigheter, SE
172.98.68.26|/Noir Core:2.2.0/|90049|46562|172.98.68.0/24|US|arin|2015-06-15|PERFORMIVE, US
178.17.170.13|/Noir Core:2.2.0/|90049|43289|178.17.160.0/20|MD|ripencc|2010-03-23|TRABIA, MD
178.17.170.23|/Noir Core:2.2.0/|90049|43289|178.17.160.0/20|MD|ripencc|2010-03-23|TRABIA, MD
178.238.236.8|/Noir Core:2.2.0/|90049|51167|178.238.236.0/23|DE|ripencc|2010-07-28|CONTABO, DE
178.63.23.210|/Noir Core:2.2.0/|90049|24940|178.63.0.0/16|DE|ripencc|2010-03-02|HETZNER-AS, DE
185.100.87.202|/Noir Core:2.2.0/|90049|200651|185.100.87.0/24|SC|ripencc|2015-05-15|FLOKINET, SC
185.107.47.171|/Noir Core:2.2.0/|90049|43350|185.107.44.0/22|NL|ripencc|2015-07-03|NFORCE, NL
185.107.47.215|/Noir Core:2.2.0/|90049|43350|185.107.44.0/22|NL|ripencc|2015-07-03|NFORCE, NL
185.220.100.240|/Noir Core:2.2.0/|90049|205100|185.220.100.0/24|DE|ripencc|2017-09-12|F3NETZE, DE
185.220.100.242|/Noir Core:2.2.0/|90049|205100|185.220.100.0/24|DE|ripencc|2017-09-12|F3NETZE, DE
185.220.100.243|/Noir Core:2.2.0/|90049|205100|185.220.100.0/24|DE|ripencc|2017-09-12|F3NETZE, DE
185.220.100.245|/Noir Core:2.2.0/|90049|205100|185.220.100.0/24|DE|ripencc|2017-09-12|F3NETZE, DE
185.220.100.249|/Noir Core:2.2.0/|90049|205100|185.220.100.0/24|DE|ripencc|2017-09-12|F3NETZE, DE
185.220.100.250|/Noir Core:2.2.0/|90049|205100|185.220.100.0/24|DE|ripencc|2017-09-12|F3NETZE, DE
185.220.100.253|/Noir Core:2.2.0/|90049|205100|185.220.100.0/24|DE|ripencc|2017-09-12|F3NETZE, DE
185.220.100.254|/Noir Core:2.2.0/|90049|205100|185.220.100.0/24|DE|ripencc|2017-09-12|F3NETZE, DE
185.220.101.132|/Noir Core:2.2.0/|90049|208294|185.220.101.0/24|DE|ripencc|2017-09-12|RELAYON, US
185.220.101.137|/Noir Core:2.2.0/|90049|208294|185.220.101.0/24|DE|ripencc|2017-09-12|RELAYON, US
185.220.101.139|/Noir Core:2.2.0/|90049|208294|185.220.101.0/24|DE|ripencc|2017-09-12|RELAYON, US
185.220.101.14|/Noir Core:2.2.0/|90049|208294|185.220.101.0/24|DE|ripencc|2017-09-12|RELAYON, US
185.220.101.145|/Noir Core:2.2.0/|90049|208294|185.220.101.0/24|DE|ripencc|2017-09-12|RELAYON, US
185.220.101.15|/Noir Core:2.2.0/|90049|208294|185.220.101.0/24|DE|ripencc|2017-09-12|RELAYON, US
185.220.101.20|/Noir Core:2.2.0/|90049|208294|185.220.101.0/24|DE|ripencc|2017-09-12|RELAYON, US
185.220.101.202|/Noir Core:2.2.0/|90049|208294|185.220.101.0/24|DE|ripencc|2017-09-12|RELAYON, US
185.220.101.209|/Noir Core:2.2.0/|90049|208294|185.220.101.0/24|DE|ripencc|2017-09-12|RELAYON, US
185.220.101.213|/Noir Core:2.2.0/|90049|208294|185.220.101.0/24|DE|ripencc|2017-09-12|RELAYON, US
185.220.101.215|/Noir Core:2.2.0/|90049|208294|185.220.101.0/24|DE|ripencc|2017-09-12|RELAYON, US
185.220.101.24|/Noir Core:2.2.0/|90049|208294|185.220.101.0/24|DE|ripencc|2017-09-12|RELAYON, US
185.35.64.42|/Noir Core:2.2.0/|90049|199653|185.35.64.0/22|DE|ripencc|2013-09-13|ARUBAFR-AS, FR
185.83.214.69|/Noir Core:2.2.0/|90049|58110|185.83.214.0/24|PT|ripencc|2015-01-13|IPVOLUME, CH
189.135.198.2|/Noir Core:2.2.0/|90049|8151|189.135.192.0/21|MX|lacnic|2006-05-12|Uninet S.A. de C.V., MX
193.138.218.163|/Noir Core:2.2.0/|90049|39351|193.138.216.0/22|SE|ripencc|2006-02-06|ESAB-AS, SE
205.185.117.149|/Noir Core:2.2.0/|90049|53667|205.185.112.0/20|US|arin|2010-09-03|PONYNET, US
207.246.64.69|/Noir Core:2.2.0/|90049|20473|207.246.64.0/20|US|arin|2017-10-13|AS-CHOOPA, US
209.127.17.242|/Noir Core:2.2.0/|90049|55286|209.127.16.0/20|CA|arin|2018-01-12|SERVER-MANIA, CA
212.90.169.175|/Noir Core:2.2.0/|90049|12593|212.90.160.0/19|UA|ripencc|1999-07-20|AS12593, UA
37.120.140.114|/Noir Core:2.2.0/|90049|9009|37.120.140.0/24|RO|ripencc|2012-02-13|M247, GB
46.151.159.53|/Noir Core:2.2.0/|90049|50473|46.151.152.0/21|RU|ripencc|2010-12-06|ECO-AS, RU
54.39.10.104|/Noir Core:2.2.0/|90049|16276|54.39.0.0/16|CA|arin|2017-10-16|OVH, FR
70.244.38.189|/Noir Core:2.2.0/|90049|7018|70.244.0.0/14|US|arin|2004-02-25|ATT-INTERNET4, US
70.95.74.84|/Noir Core:2.2.0/|90049|20001|70.95.0.0/16|US|arin|2004-09-22|TWC-20001-PACWEST, US
73.38.152.132|/Noir Core:2.2.0/|90049|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
78.46.244.169|/Noir Core:2.1.0.7/|90049|24940|78.46.0.0/15|DE|ripencc|2007-04-16|HETZNER-AS, DE
89.47.160.204|/Noir Core:2.2.0/|90049|62282|89.47.160.0/21|LT|ripencc|2005-11-29|RACKRAY UAB Rakrejus, LT
91.139.188.62|/Noir Core:2.2.0/|90049|43205|91.139.128.0/17|BG|ripencc|2006-10-18|BULSATCOM-BG-AS Sofia, BG
91.149.225.131|/Noir Core:2.2.0/|90049|58110|91.149.225.0/24|PL|ripencc|2006-11-20|IPVOLUME, CH
91.178.23.195|/Noir Core:2.2.0/|90049|5432|91.176.0.0/14|BE|ripencc|2006-09-04|PROXIMUS-ISP-AS, BE
91.221.57.179|/Noir Core:2.2.0/|90049|49502|91.221.56.0/23|RU|ripencc|2010-10-27|ART-INVEST-AS, RU
91.234.99.189|/Noir Core:2.2.0/|90049|213058|91.234.99.0/24|NL|ripencc|2011-12-30|PIHL-AS, RU
91.77.248.237|/Noir Core:2.2.0/|90049|8359|91.76.0.0/14|RU|ripencc|2006-08-21|MTS, RU
94.60.94.88|/Noir Core:2.2.0/|90049|12353|94.60.0.0/14|PT|ripencc|2008-06-23|VODAFONE-PT Vodafone Portugal, PT
95.179.168.26|/Noir Core:2.2.0/|90049|20473|95.179.160.0/20|US|ripencc|2009-01-22|AS-CHOOPA, US
95.216.0.113|/Noir Core:2.2.0/|90049|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.102.36|/Noir Core:2.2.0/|90049|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.112.43|/Noir Core:2.2.0/|90049|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.112.67|/Noir Core:2.2.0.0/|90049|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.127.177|/Noir Core:2.2.0/|90049|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.224.210|/Noir Core:2.2.0/|90049|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.224.94|/Noir Core:2.2.0/|90049|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.225.21|/Noir Core:2.2.0/|90049|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.3.92|/Noir Core:2.2.0/|90049|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.35.39|/Noir Core:2.2.0/|90049|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.97.180|/Noir Core:2.2.0/|90049|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.97.93|/Noir Core:2.2.0/|90049|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.133.231|/Noir Core:2.2.0/|90049|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.217.231|/Noir Core:2.2.0/|90049|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.46.161|/Noir Core:2.2.0/|90049|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.58.240|/Noir Core:2.2.0/|90049|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.74.236|/Noir Core:2.2.0/|90049|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.97.211|/Noir Core:2.2.0/|90049|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
99.42.125.21|/Noir Core:2.2.0/|90049|7018|99.32.0.0/12|US|arin|2008-02-25|ATT-INTERNET4, US
