# https://chainz.cryptoid.info/ and whois results
# NewYorkCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.237.11.204|/NewYorkCoin:1.3.1.20/|70012|8100|104.237.11.0/24|US|arin|2014-11-03|ASN-QUADRANET-GLOBAL, US
109.128.63.116|/NewYorkCoin:1.3.1.20/|70012|5432|109.128.0.0/14|BE|ripencc|2009-07-27|PROXIMUS-ISP-AS, BE
113.191.234.89|/NewYorkCoin:1.3.1.20/|70012|45899|113.191.224.0/20|VN|apnic|2008-11-04|VNPT-AS-VN VNPT Corp, VN
114.246.35.11|/NewYorkCoin:1.3.1.20/|70012|4808|114.246.32.0/20|CN|apnic|2008-06-24|CHINA169-BJ China Unicom Beijing Province Network, CN
114.246.35.13|/NewYorkCoin:1.3.1.20/|70012|4808|114.246.32.0/20|CN|apnic|2008-06-24|CHINA169-BJ China Unicom Beijing Province Network, CN
115.70.105.94|/NewYorkCoin:1.3.1.20/|70012|10143|115.70.104.0/21|AU|apnic|2008-07-22|EXETEL-AS-AP Exetel Pty Ltd, AU
116.202.47.198|/NewYorkCoin:1.3.1.20/|70012|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
135.181.32.44|/NewYorkCoin:1.3.1.20/|70012|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
136.56.64.60|/NewYorkCoin:1.3.1.17/|70005|16591|136.56.64.0/20|US|arin|2015-10-06|GOOGLE-FIBER, US
144.76.172.181|/NewYorkCoin:1.3.1.20/|70012|24940|144.76.0.0/16|DE|ripencc|1990-11-16|HETZNER-AS, DE
144.91.108.205|/NewYorkCoin:1.3.1.20/|70012|51167|144.91.108.0/23|DE|ripencc|1990-11-20|CONTABO, DE
155.138.247.235|/NewYorkCoin:1.3.1.20/|70012|20473|155.138.240.0/20|US|arin|2018-12-05|AS-CHOOPA, US
157.161.128.52|/NewYorkCoin:1.3.1.20/|70012|6772|157.161.0.0/16|CH|ripencc|2004-04-07|IMPNET-AS, CH
157.90.223.151|/NewYorkCoin:1.3.1.20/|70012|24940|157.90.0.0/16|DE|ripencc|1996-12-16|HETZNER-AS, DE
162.55.92.62|/NewYorkCoin:1.3.1.20/|70012|24940|162.55.0.0/16|DE|ripencc|1992-08-03|HETZNER-AS, DE
167.102.169.248|/NewYorkCoin:1.3.1.20/|70012|27026|167.102.160.0/19|US|arin|1993-05-27|NETWORKMARYLAND, US
167.86.85.58|/NewYorkCoin:1.3.1.20/|70012|51167|167.86.84.0/23|DE|ripencc|1993-05-14|CONTABO, DE
173.212.221.11|/NewYorkCoin:1.3.1.20/|70012|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
178.118.27.206|/NewYorkCoin:1.3.1.20/|70012|6848|178.116.0.0/14|BE|ripencc|2010-01-22|TELENET-AS, BE
179.108.7.150|/NewYorkCoin:1.3.1.20/|70012|28668|179.108.0.0/20|BR|lacnic|2013-06-26|Silva & Silveira Provedor de Internet Ltda, BR
185.213.154.161|/NewYorkCoin:1.3.1.20/|70012|39351|185.213.154.0/24|SE|ripencc|2017-07-19|ESAB-AS, SE
185.65.134.180|/NewYorkCoin:1.14.3/|70012|39351|185.65.134.0/24|SE|ripencc|2014-07-30|ESAB-AS, SE
192.99.238.224|/NewYorkCoin:1.3.1.20/|70012|16276|192.99.0.0/16|CA|arin|2013-06-17|OVH, FR
193.70.35.157|/NewYorkCoin:1.3.1.20/|70012|16276|193.70.0.0/17|FR|ripencc|1993-09-01|OVH, FR
207.172.172.226|/NewYorkCoin:1.3.1.20/|70012|6079|207.172.0.0/16|US|arin|1996-08-05|RCN-AS, US
23.251.95.51|/NewYorkCoin:1.3.1.20/|70012|26827|23.251.64.0/19|US|arin|2013-11-07|EPBTELECOM, US
31.182.163.245|/NewYorkCoin:1.3.1.20/|70012|16342|31.182.0.0/15|PL|ripencc|2011-03-24|TOYA TOYA Sp. z o.o., PL
37.212.25.39|/NewYorkCoin:1.3.1.20/|70012|6697|37.212.24.0/23|BY|ripencc|2012-03-30|BELPAK-AS BELPAK, BY
45.248.78.132|/NewYorkCoin:1.3.1.20/|70012|136557|45.248.78.0/24|AU|apnic|2016-05-04|HOST-AS-AP Host Universal Pty Ltd, AU
45.248.78.236|/NewYorkCoin:1.3.1.20/|70012|136557|45.248.78.0/24|AU|apnic|2016-05-04|HOST-AS-AP Host Universal Pty Ltd, AU
46.151.159.53|/NewYorkCoin:1.3.1.17/|70005|50473|46.151.152.0/21|RU|ripencc|2010-12-06|ECO-AS, RU
