# https://chainz.cryptoid.info/ and whois results
# Phore
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
108.35.109.58|/Phore Core:1.7.0/|70008||||||
109.193.113.79|/Phore Core:1.7.0/|70008||||||
116.203.238.63|/Phore Core:1.7.0/|70008||||||
138.201.16.60|/Phore Core:1.7.0/|70008||||||
139.59.215.152|/Phore Core:1.7.0/|70008||||||
144.91.78.26|/Phore Core:1.7.0/|70008||||||
144.91.82.172|/Phore Core:1.7.0/|70008||||||
164.68.100.129|/Phore Core:1.7.0/|70008||||||
164.68.112.221|/Phore Core:1.7.0/|70008||||||
166.172.58.230|/Phore Core:1.7.0/|70008||||||
167.179.68.142|/Phore Core:1.7.0/|70008||||||
167.86.76.239|/Phore Core:1.7.0/|70008||||||
167.86.79.164|/Phore Core:1.7.0/|70008||||||
167.86.79.43|/Phore Core:1.7.0/|70008||||||
167.86.88.223|/Phore Core:1.7.0/|70008||||||
167.86.89.12|/Phore Core:1.7.0/|70008||||||
167.86.91.140|/Phore Core:1.7.0/|70008||||||
167.86.94.165|/Phore Core:1.7.0/|70008||||||
167.86.97.15|/Phore Core:1.7.0/|70008||||||
168.119.36.187|/Phore Core:1.7.0/|70008||||||
173.212.223.33|/Phore Core:1.7.0/|70008||||||
173.249.47.221|/Phore Core:1.7.0/|70008||||||
176.9.52.122|/Phore Core:1.7.0/|70008||||||
178.197.227.253|/Phore Core:1.7.0/|70008||||||
178.254.25.162|/Phore Core:1.7.0/|70008||||||
184.91.72.6|/Phore Core:1.7.0/|70008||||||
185.141.62.82|/Phore Core:1.7.0/|70008||||||
185.147.75.100|/Phore Core:1.7.0/|70008||||||
185.147.75.101|/Phore Core:1.7.0/|70008||||||
185.147.75.102|/Phore Core:1.7.0/|70008||||||
185.177.59.27|/Phore Core:1.7.0/|70008||||||
185.203.116.99|/Phore Core:1.7.0/|70008||||||
185.233.105.3|/Phore Core:1.7.0/|70008||||||
185.233.105.91|/Phore Core:1.7.0/|70008||||||
185.90.100.54|/Phore Core:1.7.0/|70008||||||
192.222.227.137|/Phore Core:1.7.0/|70008||||||
193.37.212.252|/Phore Core:1.7.0/|70008||||||
194.35.233.28|/Phore Core:1.7.0/|70008||||||
195.138.82.255|/Phore Core:1.7.0/|70008||||||
195.24.140.254|/Phore Core:1.7.0/|70008||||||
202.32.14.177|/Phore Core:1.7.0/|70008||||||
206.81.20.184|/Phore Core:1.7.0/|70008||||||
207.180.193.10|/Phore Core:1.7.0/|70008||||||
207.180.193.28|/Phore Core:1.7.0/|70008||||||
209.126.81.51|/Phore Core:1.7.0/|70008||||||
213.239.209.41|/Phore Core:1.7.0/|70008||||||
36.255.105.3|/Phore Core:1.7.0/|70008||||||
37.188.146.14|/Phore Core:1.7.0/|70008||||||
37.188.166.138|/Phore Core:1.7.0/|70008||||||
45.32.181.88|/Phore Core:1.7.0/|70008||||||
45.32.213.27|/Phore Core:1.7.0/|70008||||||
45.63.89.210|/Phore Core:1.7.0/|70008||||||
45.63.93.217|/Phore Core:1.7.0/|70008||||||
45.77.167.113|/Phore Core:1.7.0/|70008||||||
45.77.187.29|/Phore Core:1.7.0/|70008||||||
46.101.90.214|/Phore Core:1.7.0/|70008||||||
46.151.159.53|/Phore Core:1.7.0/|70008||||||
46.232.248.105|/Phore Core:1.7.0/|70008||||||
