# https://chainz.cryptoid.info/ and whois results
# PIVX
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.138.245.68|/PIVX Core:5.2.0.1/|70922|139049|103.138.245.0/24|AU|apnic|2019-05-09|GIGACOMM-AS-AP GIGACOMM PTY LTD, AU
104.128.224.188|/PIVX Core:5.2.0.1/|70922|7489|104.128.224.0/24|US|arin|2014-06-04|HOSTUS-GLOBAL-AS HostUS, HK
104.128.239.48|/PIVX Core:5.2.0/|70922|7489|104.128.239.0/24|US|arin|2014-06-04|HOSTUS-GLOBAL-AS HostUS, HK
104.128.239.52|/PIVX Core:5.2.0/|70922|7489|104.128.239.0/24|US|arin|2014-06-04|HOSTUS-GLOBAL-AS HostUS, HK
104.168.144.40|/PIVX Core:5.2.0.1/|70922|54290|104.168.128.0/17|US|arin|2014-09-03|HOSTWINDS, US
104.220.18.1|/PIVX Core:5.2.0.1/|70922|11404|104.220.0.0/18|US|arin|2014-10-07|AS-WAVE-1, US
104.244.76.13|/PIVX Core:5.2.0.1/|70922|53667|104.244.76.0/24|US|arin|2014-11-10|PONYNET, US
107.159.19.182|/PIVX Core:5.2.0/|70922|1403|107.159.16.0/20|CA|arin|2013-12-03|EBOX, CA
107.173.164.10|/PIVX Core:5.2.0.1/|70922|36352|107.173.164.0/24|US|arin|2013-12-27|AS-COLOCROSSING, US
108.170.141.33|/PIVX Core:5.2.0.1/|70922|40788|108.170.128.0/18|CA|arin|2012-02-06|START-, CA
108.61.123.193|/PIVX Core:5.2.0.1/|70922|20473|108.61.122.0/23|US|arin|2010-12-08|AS-CHOOPA, US
109.202.196.93|/PIVX Core:5.2.0.1/|70922|13030|109.202.192.0/19|CH|ripencc|2010-02-22|INIT7, CH
109.242.172.13|/PIVX Core:5.2.0.1/|70922|25472|109.242.128.0/17|GR|ripencc|2009-11-02|WIND-AS, GR
109.94.110.146|/PIVX Core:5.2.0.1/|70922|44901|109.94.110.0/24|BG|ripencc|2009-11-06|BELCLOUD, BG
116.121.125.75|/PIVX Core:5.2.0.1/|70922|9318|116.121.0.0/16|KR|apnic|2007-05-21|SKB-AS SK Broadband Co Ltd, KR
116.127.164.192|/PIVX Core:5.2.0.1/|70922|9318|116.127.0.0/16|KR|apnic|2007-05-21|SKB-AS SK Broadband Co Ltd, KR
116.127.164.205|/PIVX Core:5.2.0.1/|70922|9318|116.127.0.0/16|KR|apnic|2007-05-21|SKB-AS SK Broadband Co Ltd, KR
116.127.164.87|/PIVX Core:5.2.0.1/|70922|9318|116.127.0.0/16|KR|apnic|2007-05-21|SKB-AS SK Broadband Co Ltd, KR
116.136.160.18|/PIVX Core:5.2.0.1/|70922|4837|116.136.0.0/15|CN|apnic|2007-05-11|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.136.160.19|/PIVX Core:5.2.0.1/|70922|4837|116.136.0.0/15|CN|apnic|2007-05-11|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.136.160.20|/PIVX Core:5.2.0.1/|70922|4837|116.136.0.0/15|CN|apnic|2007-05-11|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.136.160.22|/PIVX Core:5.2.0.1/|70922|4837|116.136.0.0/15|CN|apnic|2007-05-11|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.136.160.23|/PIVX Core:5.2.0.1/|70922|4837|116.136.0.0/15|CN|apnic|2007-05-11|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.136.160.27|/PIVX Core:5.2.99/|70922|4837|116.136.0.0/15|CN|apnic|2007-05-11|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.136.160.28|/PIVX Core:5.2.99/|70922|4837|116.136.0.0/15|CN|apnic|2007-05-11|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.203.158.0|/PIVX Core:5.2.0.1/|70922|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.203.252.163|/PIVX Core:5.2.0.1/|70922|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
124.170.91.239|/PIVX Core:5.2.0.1/|70922|7545|124.170.64.0/19|AU|apnic|2007-06-15|TPG-INTERNET-AP TPG Telecom Limited, AU
128.199.17.16|/PIVX Core:5.2.0.1/|70922|14061|128.199.16.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
128.199.27.164|/PIVX Core:5.2.0.1/|70922|14061|128.199.16.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
13.94.188.27|/PIVX Core:5.2.0/|70922|8075|13.64.0.0/11|US|arin|2015-03-26|MICROSOFT-CORP-MSN-AS-BLOCK, US
130.61.184.194|/PIVX Core:5.2.0.1/|70922|31898|130.61.128.0/17|US|arin|2016-10-31|ORACLE-BMC-31898, US
134.209.108.116|/PIVX Core:5.2.0.1/|70922|14061|134.209.96.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
134.209.111.58|/PIVX Core:5.2.0.1/|70922|14061|134.209.96.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
134.209.188.222|/PIVX Core:5.2.0.1/|70922|14061|134.209.176.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
134.209.192.69|/PIVX Core:5.2.0.1/|70922|14061|134.209.192.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
134.209.88.27|/PIVX Core:5.2.0.1/|70922|14061|134.209.80.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
136.144.17.12|/PIVX Core:5.2.0.1/|70922|7040|136.144.17.0/24|NL|ripencc|1989-08-28|NETMINDERS, CA
136.244.117.198|/PIVX Core:5.2.0.1/|70922|20473|136.244.112.0/20|US|arin|2019-04-08|AS-CHOOPA, US
136.244.86.157|/PIVX Core:5.2.0/|70922|20473|136.244.80.0/20|US|arin|2019-04-08|AS-CHOOPA, US
136.56.21.170|/PIVX Core:5.2.0.1/|70922|16591|136.56.16.0/20|US|arin|2015-10-06|GOOGLE-FIBER, US
138.201.16.118|/PIVX Core:5.2.0.1/|70922|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
138.201.16.60|/PIVX Core:5.2.0.1/|70922|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
138.201.251.168|/PIVX Core:5.2.0.1/|70922|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
138.68.153.211|/PIVX Core:5.2.0.1/|70922|14061|138.68.144.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
138.68.184.109|/PIVX Core:5.2.0.1/|70922|14061|138.68.176.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
138.68.99.150|/PIVX Core:5.2.0.1/|70922|14061|138.68.96.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
139.47.69.178|/PIVX Core:5.2.0.1/|70922|15704|139.47.0.0/17|ES|ripencc|1990-06-19|AS15704, ES
139.59.189.138|/PIVX Core:5.2.0.1/|70922|14061|139.59.176.0/20|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
139.59.26.158|/PIVX Core:5.2.0.1/|70922|14061|139.59.16.0/20|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
139.59.64.136|/PIVX Core:5.2.0.1/|70922|14061|139.59.64.0/20|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
139.59.94.60|/PIVX Core:5.2.0.1/|70922|14061|139.59.80.0/20|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
142.44.246.156|/PIVX Core:5.2.0.1/|70922|16276|142.44.128.0/17|CA|arin|2017-06-21|OVH, FR
142.93.136.97|/PIVX Core:5.2.0.1/|70922|14061|142.93.128.0/20|US|arin|2018-07-12|DIGITALOCEAN-ASN, US
