# https://chainz.cryptoid.info/ and whois results
# PeerCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
100.14.224.164|/Satoshi:0.20.2/Peercoin:0.10.2/|70015|701|100.14.0.0/16|US|arin|2010-12-28|UUNET, US
101.108.91.53|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|23969|101.108.90.0/23|TH|apnic|2010-12-13|TOT-NET TOT Public Company Limited, TH
101.165.209.220|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|1221|101.160.0.0/11|AU|apnic|2010-12-23|ASN-TELSTRA Telstra Corporation Ltd, AU
103.243.173.214|/Satoshi:0.20.2/Peercoin:0.10.3/|70015|59210|103.243.173.0/24|SG|apnic|2013-10-15|PHOENIXNAP-AS-SG1 PhoenixNAP, SG
104.54.203.174|/Satoshi:0.20.2/Peercoin:0.10.2/|70015|7018|104.48.0.0/12|US|arin|2014-05-06|ATT-INTERNET4, US
109.192.250.26|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|3209|109.192.0.0/16|DE|ripencc|2009-10-06|VODANET International IP-Backbone of Vodafone, DE
109.60.60.37|/Satoshi:0.20.1/Peercoin:0.10.1/|70015|31012|109.60.0.0/17|HR|ripencc|2009-12-11|DCM-AS Vipnet d.o.o., HR
110.141.212.32|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|1221|110.140.0.0/15|AU|apnic|2009-04-20|ASN-TELSTRA Telstra Corporation Ltd, AU
116.202.129.35|/Satoshi:0.20.2/Peercoin:0.10.3/|70015|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.202.132.28|/Satoshi:0.20.2/Peercoin:0.10.3/|70015|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
121.208.195.118|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|1221|121.208.0.0/12|AU|apnic|2006-06-20|ASN-TELSTRA Telstra Corporation Ltd, AU
121.208.212.56|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|1221|121.208.0.0/12|AU|apnic|2006-06-20|ASN-TELSTRA Telstra Corporation Ltd, AU
124.148.21.35|/Satoshi:0.20.1/Peercoin:0.10.0/|70015|4739|124.148.20.0/22|AU|apnic|2006-03-02|INTERNODE-AS Internode Pty Ltd, AU
125.176.245.74|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|17858|125.176.0.0/14|KR|apnic|2005-09-12|POWERVIS-AS-KR LG POWERCOMM, KR
125.25.48.24|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|23969|125.25.48.0/24|TH|apnic|2005-08-08|TOT-NET TOT Public Company Limited, TH
134.209.127.31|/Satoshi:0.20.2/Peercoin:0.10.2/|70015|14061|134.209.112.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
135.181.216.218|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
136.24.44.100|/Satoshi:0.20.2/Peercoin:0.10.2/|70015|19165|136.24.0.0/16|US|arin|2016-10-31|WEBPASS, US
138.197.141.227|/Satoshi:0.20.2/Peercoin:0.10.2/|70015|14061|138.197.128.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
14.201.199.46|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|7545|14.201.198.0/23|AU|apnic|2010-09-14|TPG-INTERNET-AP TPG Telecom Limited, AU
141.98.255.143|/ppcoin-seeder:0.1.0/|70015|39351|141.98.255.0/24|SE|ripencc|2019-01-16|ESAB-AS, SE
143.131.14.44|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|36492|143.131.14.0/24|US|arin|2019-09-27|GOOGLEWIFI, US
143.198.133.198|/Satoshi:0.20.2/Peercoin:0.10.3/|70015|14061|143.198.128.0/20|US|arin|2020-01-24|DIGITALOCEAN-ASN, US
149.56.155.28|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|16276|149.56.0.0/16|CA|arin|2016-02-09|OVH, FR
154.62.238.97|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|203709|154.62.236.0/22|US|arin|1992-02-05|SCHEDIA, ES
156.146.62.150|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|60068|156.146.62.0/24|GB|ripencc|1990-02-05|CDN77 ^_^, GB
159.138.111.140|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|136907|159.138.96.0/20|SG|apnic|1992-04-20|HWCLOUDS-AS-AP HUAWEI CLOUDS, HK
159.65.153.2|/Satoshi:0.20.2/Peercoin:0.10.2/|70015|14061|159.65.144.0/20|US|arin|2017-10-24|DIGITALOCEAN-ASN, US
161.35.95.39|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|14061|161.35.80.0/20|US|arin|2019-07-30|DIGITALOCEAN-ASN, US
163.172.104.73|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|12876|163.172.0.0/16|GB|ripencc|1992-02-14|Online SAS, FR
163.172.194.148|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|12876|163.172.0.0/16|GB|ripencc|1992-02-14|Online SAS, FR
166.70.207.2|/Satoshi:0.20.1/Peercoin:0.10.0/|70015|6315|166.70.0.0/16|US|arin|1997-02-19|XMISSION, US
167.57.107.242|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|6057|167.57.96.0/20|UY|lacnic|2014-03-31|Administracion Nacional de Telecomunicaciones, UY
172.119.142.145|/Satoshi:0.20.2/Peercoin:0.10.2/|70015|20001|172.112.0.0/13|US|arin|2015-06-19|TWC-20001-PACWEST, US
173.68.20.54|/Satoshi:0.20.1/Peercoin:0.10.0/|70015|701|173.68.0.0/16|US|arin|2008-08-11|UUNET, US
174.86.89.55|/Satoshi:0.20.2/Peercoin:0.10.3/|70015|20115|174.86.0.0/16|US|arin|2009-02-23|CHARTER-20115, US
176.187.72.135|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|5410|176.128.0.0/10|FR|ripencc|2011-07-06|BOUYGTEL-ISP, FR
176.199.208.37|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|3209|176.199.0.0/16|DE|ripencc|2011-07-18|VODANET International IP-Backbone of Vodafone, DE
185.159.157.9|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|209103|185.159.157.0/24|CH|ripencc|2016-07-14|PROTONVPN, CH
185.169.102.140|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|12389|185.169.102.0/24|RU|ripencc|2016-09-23|ROSTELECOM-AS, RU
185.50.24.19|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|198610|185.50.24.0/24|RU|ripencc|2014-03-12|BEGET-AS, RU
185.91.165.33|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|34911|185.91.164.0/22|CZ|ripencc|2015-03-12|ASELDATA, CZ
186.122.168.221|/Satoshi:0.16.3/Peercoin:0.8.4/|70015|11664|186.122.168.0/24|AR|lacnic|2009-07-23|Techtel LMDS Comunicaciones Interactivas S.A., AR
188.22.207.213|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|8447|188.20.0.0/14|AT|ripencc|2009-02-03|A1TELEKOM-AT A1 Telekom Austria AG, AT
188.24.120.108|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|8708|188.24.0.0/15|RO|ripencc|2009-02-11|RCS-RDS 73-75 Dr. Staicovici, RO
190.4.70.106|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|27745|190.4.64.0/21|BQ|lacnic|2006-07-31|Telefonia Bonairiano N.V., BQ
192.222.229.98|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|1403|192.222.224.0/19|CA|arin|2012-12-20|EBOX, CA
195.154.184.48|/Satoshi:0.20.2/Peercoin:0.10.3/|70015|12876|195.154.0.0/16|FR|ripencc|1996-08-27|Online SAS, FR
199.241.187.130|/Satoshi:0.16.3/Peercoin:0.9.0/|70015|31863|199.241.184.0/21|US|arin|2012-07-30|DACEN-2, US
