# https://chainz.cryptoid.info/ and whois results
# Quark
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
101.132.153.65|/Satoshi:0.11.0/|70005|37963|101.132.0.0/16|CN|apnic|2010-12-16|CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN
117.85.26.241|/Satoshi:0.10.7.5/|70004|4134|117.80.0.0/13|CN|apnic|2007-07-04|CHINANET-BACKBONE No.31,Jin-rong Street, CN
121.232.19.151|/Satoshi:0.10.7.5/|70004|4134|121.224.0.0/12|CN|apnic|2006-06-30|CHINANET-BACKBONE No.31,Jin-rong Street, CN
160.19.49.41|???|0|135386|160.19.49.0/24|HK|apnic|2016-09-05|LTG-AS-AP LinkChina Telecom Global Limited., HK
170.249.194.100|/Satoshi:0.10.7.4/|70004|63410|170.249.192.0/20|US|arin|2015-11-03|PRIVATESYSTEMS, US
170.249.211.29|/Satoshi:0.10.7.4/|70004|63410|170.249.208.0/20|US|arin|2015-11-03|PRIVATESYSTEMS, US
192.74.237.186|/Satoshi:0.10.7.5/|70004|54600|192.74.224.0/19|US|arin|2012-11-08|PEGTECHINC, US
194.160.80.213|/Satoshi:0.10.7.4/|70004|2607|194.160.0.0/16|SK|ripencc|1995-05-03|SANET Slovak Academic Network, SK
45.11.89.6|/Satoshi:0.10.7.4/|70004|62164|45.11.89.0/24|CA|ripencc|2019-04-26|HEYMMAN, CA
47.92.129.82|/Satoshi:0.10.7.5/|70004|37963|47.92.0.0/15|CN|apnic|1989-01-06|CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN
66.23.194.98|/Satoshi:0.10.7.4/|70004|398395|66.23.194.0/23|US|arin|2015-03-09|DOT-TECH-LLC, US
78.130.244.174|/Satoshi:0.10.7.4/|70004|9070|78.130.128.0/17|BG|ripencc|2007-05-11|COOOLBOX, BG
