# https://chainz.cryptoid.info/ and whois results
# SolarCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
101.186.179.97|/Satoshi:2.1.8/|70005|1221|101.160.0.0/11|AU|apnic|2010-12-23|ASN-TELSTRA Telstra Corporation Ltd, AU
103.107.196.148|/Satoshi:2.1.8/|70005|137409|103.107.196.0/24|AU|apnic|2018-01-17|GSLNETWORKS-AS-AP GSL Networks Pty LTD, AU
103.107.196.164|/Satoshi:2.1.8/|70005|137409|103.107.196.0/24|AU|apnic|2018-01-17|GSLNETWORKS-AS-AP GSL Networks Pty LTD, AU
105.224.224.6|/Satoshi:2.1.8/|70005|37457|105.224.0.0/16|ZA|afrinic|2012-11-16|Telkom-Internet, ZA
106.73.238.224|/Satoshi:2.1.8/|70005|2516|106.72.0.0/15|JP|apnic|2011-04-05|KDDI KDDI CORPORATION, JP
109.134.141.220|/Satoshi:2.1.8/|70005|5432|109.132.0.0/14|BE|ripencc|2009-07-27|PROXIMUS-ISP-AS, BE
109.207.192.65|/Satoshi:2.1.8/|70005|43139|109.207.192.0/20|UA|ripencc|2010-03-08|MAXIMUMA-AS, UA
109.250.15.4|/Satoshi:2.1.8/|70005|8881|109.250.0.0/19|DE|ripencc|2009-12-01|VERSATEL, DE
116.109.176.147|/Satoshi:2.1.8/|70005|7552|116.109.176.0/21|VN|apnic|2007-05-18|VIETEL-AS-AP Viettel Group, VN
118.172.240.60|/Satoshi:2.1.8/|70005|23969|118.172.240.0/21|TH|apnic|2007-10-08|TOT-NET TOT Public Company Limited, TH
118.209.99.114|/Satoshi:2.1.8/|70005|7545|118.209.96.0/19|AU|apnic|2008-10-13|TPG-INTERNET-AP TPG Telecom Limited, AU
119.230.34.144|/Satoshi:2.1.8/|70005|17511|119.228.0.0/14|JP|apnic|2008-02-28|OPTAGE OPTAGE Inc., JP
120.159.208.57|/Satoshi:2.1.8/|70005|135887|120.159.208.0/23|AU|apnic|2009-04-20|TELSTRA-BELONG-AP Belong Telstra Corporation, AU
123.28.60.88|/Satoshi:2.1.8/|70005|45899|123.28.48.0/20|VN|apnic|2007-01-11|VNPT-AS-VN VNPT Corp, VN
125.26.172.192|/Satoshi:2.1.8/|70005|23969|125.26.172.0/22|TH|apnic|2006-10-26|TOT-NET TOT Public Company Limited, TH
125.26.174.195|/Satoshi:2.1.8/|70005|23969|125.26.172.0/22|TH|apnic|2006-10-26|TOT-NET TOT Public Company Limited, TH
135.0.52.8|/Satoshi:2.1.8/|70005|54614|135.0.0.0/18|CA|arin|2012-03-19|CIKTELECOM-CABLE, CA
140.177.234.15|/Satoshi:2.1.8/|70005|12119|140.177.232.0/22|US|arin|1990-05-16|ITV-3, US
142.197.160.83|/Satoshi:2.1.8/|70005|33363|142.196.0.0/15|US|arin|2012-05-08|BHN-33363, US
144.138.172.77|/Satoshi:2.1.8/|70005|135887|144.138.172.0/24|AU|apnic|1990-12-10|TELSTRA-BELONG-AP Belong Telstra Corporation, AU
148.3.34.8|/Satoshi:2.1.8/|70005|12430|148.3.0.0/16|ES|ripencc|1993-09-01|VODAFONE_ES, ES
148.66.100.132|/Satoshi:2.1.8/|70005|9471|148.66.100.0/24|PF|apnic|1991-04-11|ONATI-AS-AP ONATI, PF
148.66.104.236|/Satoshi:2.1.8/|70005|9471|148.66.104.0/24|PF|apnic|1991-04-11|ONATI-AS-AP ONATI, PF
151.225.70.19|/Satoshi:2.1.8/|70005|5607|151.224.0.0/13|GB|ripencc|2012-08-09|BSKYB-BROADBAND-AS, GB
162.243.214.120|/Satoshi:2.1.8/|70005|14061|162.243.192.0/18|US|arin|2013-09-06|DIGITALOCEAN-ASN, US
174.52.57.101|/Satoshi:2.1.8/|70005|7922|174.48.0.0/12|US|arin|2008-11-18|COMCAST-7922, US
178.117.115.177|/Satoshi:2.1.8/|70005|6848|178.116.0.0/14|BE|ripencc|2010-01-22|TELENET-AS, BE
178.117.252.63|/Satoshi:2.1.8/|70005|6848|178.116.0.0/14|BE|ripencc|2010-01-22|TELENET-AS, BE
178.193.78.59|/Satoshi:2.1.8/|70005|3303|178.192.0.0/15|CH|ripencc|2010-02-24|SWISSCOM Swisscom Switzerland Ltd, CH
178.197.200.91|/Satoshi:2.1.8/|70005|3303|178.196.0.0/15|CH|ripencc|2010-02-24|SWISSCOM Swisscom Switzerland Ltd, CH
178.197.213.38|/Satoshi:2.1.8/|70005|3303|178.196.0.0/15|CH|ripencc|2010-02-24|SWISSCOM Swisscom Switzerland Ltd, CH
178.54.63.95|/Satoshi:2.1.8/|70005|29107|178.54.0.0/17|UA|ripencc|2010-05-17|SYNAPSE-AS, UA
181.214.199.22|/Satoshi:2.1.8/|70005|18345|181.214.199.0/24|CL|lacnic|2014-05-29|SERVERS-AUS-CUST Servers Australia Customers, AU
185.171.128.186|/Satoshi:2.1.8/|70005|29396|185.171.128.0/22|NL|ripencc|2016-10-05|EUROFIBER-UNET EUROFIBER, NL
187.135.194.240|/Satoshi:2.1.8/|70005|8151|187.135.194.0/23|MX|lacnic|2007-12-06|Uninet S.A. de C.V., MX
188.137.85.215|/Satoshi:2.1.8/|70005|13000|188.137.80.0/20|PL|ripencc|2009-05-06|LEON-AS, PL
188.202.97.10|/Satoshi:2.1.8/|70005|1136|188.200.0.0/13|NL|ripencc|2009-06-05|KPN KPN National, NL
189.213.199.35|/Satoshi:2.1.8/|70005|6503|189.213.199.0/24|MX|lacnic|2014-06-12|Axtel, S.A.B. de C.V., MX
190.96.1.19|/Satoshi:2.1.8/|70005|18822|190.96.1.0/24|CL|lacnic|2007-07-19|Manquehuenet, CL
193.25.22.35|/Satoshi:2.1.8/|70005|680|193.25.16.0/20|DE|ripencc|1993-02-11|DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V., DE
193.80.96.107|/Satoshi:2.1.8/|70005|1901|193.80.0.0/15|AT|ripencc|1993-09-01|EUNETAT-AS A1 Telekom Austria AG, AT
195.12.50.233|/Satoshi:2.1.8/|70005|9009|195.12.50.0/24|GB|ripencc|2006-02-01|M247, GB
196.36.98.122|/Satoshi:2.1.8/|70005|3741|196.36.0.0/16|ZA|afrinic|1996-11-11|IS, ZA
197.229.2.76|/Satoshi:2.1.8/|70005|37457|197.228.0.0/15|ZA|afrinic|2013-02-12|Telkom-Internet, ZA
205.169.34.58|/Satoshi:2.1.8/|70005|209|205.168.0.0/14|US|arin|1995-03-17|CENTURYLINK-US-LEGACY-QWEST, US
209.143.63.225|/Satoshi:2.1.8/|70005|394708|209.143.63.0/24|US|arin|1997-09-18|HORIZONCHILLICOTHETELEPHONE, US
213.196.133.194|/Satoshi:2.1.8/|70005|21040|213.196.128.0/18|CH|ripencc|2000-04-07|DATAPARK, CH
213.66.231.106|/Satoshi:2.1.8/|70005|3301|213.64.0.0/14|SE|ripencc|1999-11-12|TELIANET-SWEDEN Telia Company, SE
217.178.26.83|/Satoshi:2.1.8/|70005|55391|217.178.0.0/18|JP|apnic|2001-03-02|MF-NATIVE6-E INTERNET MULTIFEED CO., JP
217.255.213.27|/Satoshi:2.1.8/|70005|3320|217.224.0.0/11|DE|ripencc|2001-04-04|DTAG Internet service provider operations, DE
24.132.36.190|/Satoshi:2.1.8/|70005|33915|24.132.0.0/17|NL|ripencc|1997-10-13|TNF-AS, NL
24.134.92.9|/Satoshi:2.1.8/|70005|3209|24.134.0.0/16|DE|ripencc|2012-04-25|VODANET International IP-Backbone of Vodafone, DE
37.203.249.109|/Satoshi:2.1.8/|70005|21040|37.203.248.0/21|CH|ripencc|2012-03-27|DATAPARK, CH
45.143.236.145|/Satoshi:2.1.8/|70005|51579|45.143.236.0/23|RU|ripencc|2019-08-21|CORP-PARTNER-AS, RU
45.143.237.67|/Satoshi:2.1.8/|70005|51579|45.143.236.0/23|RU|ripencc|2019-08-21|CORP-PARTNER-AS, RU
45.146.57.237|/Satoshi:2.1.8/|70005|25596|45.146.56.0/22|NL|ripencc|2019-08-27|CAMBRIUM-AS, NL
45.158.172.249|/Satoshi:2.1.8/|70005|20810|45.158.172.0/22|DE|ripencc|2019-09-30|NETCOM-KASSEL Netcom Kassel, DE
46.166.142.220|/Satoshi:2.1.8/|70005|43350|46.166.136.0/21|NL|ripencc|2010-12-16|NFORCE, NL
46.238.234.86|/Satoshi:2.1.8/|70005|12618|46.238.232.0/22|PL|ripencc|2011-02-08|PL-BYDMAN-COM Commercial Users, PL
46.81.25.250|/Satoshi:2.1.8/|70005|3320|46.80.0.0/12|DE|ripencc|2010-06-07|DTAG Internet service provider operations, DE
47.157.20.54|/Satoshi:2.1.8/|70005|5650|47.157.0.0/16|US|arin|2015-08-28|FRONTIER-FRTR, US
5.149.50.145|/Satoshi:2.1.8/|70005|15600|5.149.32.0/19|CH|ripencc|2012-07-16|FINECOM Quickline AG, CH
50.220.121.211|/Satoshi:2.1.8/|70005|7922|50.128.0.0/9|US|arin|2010-10-21|COMCAST-7922, US
50.235.115.118|/Satoshi:2.1.8/|70005|7922|50.128.0.0/9|US|arin|2010-10-21|COMCAST-7922, US
52.34.114.233|/Satoshi:2.1.8/|70005|16509|52.32.0.0/14|US|arin|1991-12-19|AMAZON-02, US
58.178.231.177|/Satoshi:2.1.8/|70005|9443|58.178.0.0/16|AU|apnic|2005-06-15|VOCUS-RETAIL-AU Vocus Retail, AU
59.167.204.176|/Satoshi:2.1.8/|70005|4739|59.167.200.0/21|AU|apnic|2005-09-14|INTERNODE-AS Internode Pty Ltd, AU
60.234.169.193|/Satoshi:2.1.8/|70005|9790|60.234.0.0/16|NZ|apnic|2004-08-09|VOCUSGROUPNZ VocusGroup, NZ
62.35.163.6|/Satoshi:2.1.8/|70005|5410|62.34.0.0/15|FR|ripencc|2002-10-09|BOUYGTEL-ISP, FR
63.152.19.80|/Satoshi:2.1.8/|70005|209|63.152.0.0/16|US|arin|2000-07-12|CENTURYLINK-US-LEGACY-QWEST, US
65.242.59.210|/Satoshi:2.1.8/|70005|701|65.240.0.0/13|US|arin|2002-02-13|UUNET, US
67.241.73.183|/Satoshi:2.1.8/|70005|11351|67.240.0.0/15|US|arin|2008-02-27|TWC-11351-NORTHEAST, US
67.60.107.43|/Satoshi:2.1.8/|70005|11492|67.60.107.0/24|US|arin|2005-08-24|CABLEONE, US
68.205.97.213|/Satoshi:2.1.8/|70005|33363|68.204.0.0/15|US|arin|2003-01-31|BHN-33363, US
70.176.43.120|/Satoshi:2.1.8/|70005|22773|70.176.0.0/16|US|arin|2004-07-21|ASN-CXA-ALL-CCI-22773-RDC, US
70.181.90.42|/Satoshi:2.1.8/|70005|22773|70.181.64.0/18|US|arin|2004-07-21|ASN-CXA-ALL-CCI-22773-RDC, US
72.19.59.133|/Satoshi:2.1.8/|70005|25840|72.19.56.0/21|US|arin|2006-03-03|CASCADE-ACCESS-LLC-CA-ESTOR1, US
73.169.111.25|/Satoshi:2.1.8/|70005|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
