# https://chainz.cryptoid.info/ and whois results
# Syscoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.248.255.212|/Satoshi:4.2.2/|70016|14061|104.248.240.0/20|US|arin|2018-08-06|DIGITALOCEAN-ASN, US
116.203.100.223|/Satoshi:4.1.3/|70015|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
13.209.29.80|/syscoin-seeder:0.02/|70015|16509|13.209.0.0/16|US|arin|2019-10-01|AMAZON-02, US
134.209.155.241|/Satoshi:4.2.2/|70016|14061|134.209.144.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
134.209.248.53|/Satoshi:4.2.2/|70016|14061|134.209.240.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
134.209.91.92|/Satoshi:4.2.2/|70016|14061|134.209.80.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
136.243.63.213|/Satoshi:4.2.2/|70016|24940|136.243.0.0/16|DE|ripencc|2004-04-14|HETZNER-AS, DE
139.59.172.68|/Satoshi:4.2.2/|70016|14061|139.59.160.0/20|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
143.110.248.113|/Satoshi:4.2.2/|70016|14061|143.110.240.0/20|US|arin|2020-01-17|DIGITALOCEAN-ASN, US
157.230.116.249|/Satoshi:4.2.2/|70016|14061|157.230.112.0/20|US|arin|2018-08-22|DIGITALOCEAN-ASN, US
157.245.146.59|/Satoshi:4.2.2/|70016|14061|157.245.144.0/20|US|arin|2019-05-09|DIGITALOCEAN-ASN, US
157.245.56.190|/Satoshi:4.2.2/|70016|14061|157.245.48.0/20|US|arin|2019-05-09|DIGITALOCEAN-ASN, US
159.203.18.112|/Satoshi:4.2.2/|70016|14061|159.203.16.0/20|US|arin|2015-08-10|DIGITALOCEAN-ASN, US
159.65.24.20|/Satoshi:4.2.2/|70016|14061|159.65.16.0/20|US|arin|2017-10-24|DIGITALOCEAN-ASN, US
159.69.198.165|/Satoshi:4.1.3/|70015|24940|159.69.0.0/16|DE|ripencc|1992-03-13|HETZNER-AS, DE
164.68.121.128|/Satoshi:4.2.2/|70016|51167|164.68.120.0/23|DE|ripencc|1992-12-17|CONTABO, DE
165.22.246.8|/Satoshi:4.2.2/|70016|14061|165.22.240.0/20|US|arin|2018-10-16|DIGITALOCEAN-ASN, US
167.172.50.195|/Satoshi:4.2.2/|70016|14061|167.172.48.0/20|US|ripencc|1993-08-30|DIGITALOCEAN-ASN, US
167.71.202.142|/Satoshi:4.2.2/|70016|14061|167.71.192.0/20|US|arin|2019-04-24|DIGITALOCEAN-ASN, US
167.86.109.96|/Satoshi:4.2.2/|70016|51167|167.86.108.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.122.106|/Satoshi:4.2.2/|70016|51167|167.86.122.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.87.58|/Satoshi:4.2.2/|70016|51167|167.86.86.0/23|DE|ripencc|1993-05-14|CONTABO, DE
173.212.236.15|/Satoshi:4.2.2/|70016|51167|173.212.224.0/20|DE|ripencc|2009-10-26|CONTABO, DE
176.9.210.1|/Satoshi:4.2.2/|70016|24940|176.9.0.0/16|DE|ripencc|2011-05-17|HETZNER-AS, DE
178.238.224.94|/Satoshi:4.2.2/|70016|51167|178.238.224.0/23|DE|ripencc|2010-07-28|CONTABO, DE
178.62.4.160|/Satoshi:4.2.2/|70016|14061|178.62.0.0/18|US|ripencc|2010-02-26|DIGITALOCEAN-ASN, US
188.166.209.53|/Satoshi:4.2.2/|70016|14061|188.166.208.0/20|US|ripencc|2009-06-05|DIGITALOCEAN-ASN, US
188.40.21.250|/Satoshi:4.2.2/|70016|24940|188.40.0.0/16|DE|ripencc|2009-04-23|HETZNER-AS, DE
188.40.241.112|/Satoshi:4.2.2/|70016|24940|188.40.0.0/16|DE|ripencc|2009-04-23|HETZNER-AS, DE
188.40.241.126|/Satoshi:4.2.2/|70016|24940|188.40.0.0/16|DE|ripencc|2009-04-23|HETZNER-AS, DE
206.189.88.252|/Satoshi:4.2.2/|70016|14061|206.189.80.0/20|US|arin|1995-11-15|DIGITALOCEAN-ASN, US
207.180.226.191|/Satoshi:4.2.2/|70016|51167|207.180.226.0/23|DE|ripencc|1996-08-21|CONTABO, DE
209.97.186.76|/Satoshi:4.2.2/|70016|14061|209.97.176.0/20|US|arin|1997-07-03|DIGITALOCEAN-ASN, US
37.139.11.220|/Satoshi:4.0.3/|70015|14061|37.139.0.0/19|US|ripencc|2012-02-24|DIGITALOCEAN-ASN, US
46.4.217.252|/Satoshi:4.2.2/|70016|24940|46.4.0.0/16|DE|ripencc|2010-08-19|HETZNER-AS, DE
5.181.48.174|/Satoshi:4.2.0/|70016|197540|5.181.48.0/22|DE|ripencc|2019-04-02|NETCUP-AS netcup GmbH, DE
78.47.227.144|/Satoshi:4.2.2/|70016|24940|78.46.0.0/15|DE|ripencc|2007-04-16|HETZNER-AS, DE
80.209.237.64|/Satoshi:4.2.2/|70016|62282|80.209.224.0/20|LT|ripencc|2001-12-12|RACKRAY UAB Rakrejus, LT
95.216.62.49|/Satoshi:4.2.2/|70016|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
