# https://chainz.cryptoid.info/ and whois results
# Teslacoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
116.202.51.36|/Satoshi:12.1.0/|63003|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
173.237.207.43|/Satoshi:12.0.0/|63003|26527|173.237.207.0/24|US|arin|2011-01-12|LIGHTWAVE-NETWORKS, US
185.83.214.69|/Satoshi:12.1.0/|63003|58110|185.83.214.0/24|PT|ripencc|2015-01-13|IPVOLUME, CH
202.179.24.206|/Satoshi:12.1.0/|63003|9934|202.179.24.0/24|MN|apnic|2010-08-17|MICOM-MN-AS Mongolia Telecom, MN
217.107.126.49|/Satoshi:12.1.0/|63003|12389|217.107.126.0/23|RU|ripencc|2000-12-20|ROSTELECOM-AS, RU
46.101.235.143|/Satoshi:12.1.0/|63003|14061|46.101.128.0/17|US|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
50.36.115.54|/Satoshi:12.1.0/|63003|5650|50.32.0.0/12|US|arin|2010-09-24|FRONTIER-FRTR, US
69.76.51.197|/Satoshi:12.1.0/|63003|10796|69.76.48.0/20|US|arin|2003-09-08|TWC-10796-MIDWEST, US
79.170.188.45|/Satoshi:9.4.0/|63002|24722|79.170.188.0/24|TJ|ripencc|2007-10-02|BABILON-AS, TJ
81.247.107.123|/Satoshi:12.1.0/|63003|5432|81.244.0.0/14|BE|ripencc|2002-11-29|PROXIMUS-ISP-AS, BE
84.2.34.93|/Satoshi:12.0.0/|63003|15545|84.2.34.0/23|HU|ripencc|2004-09-17|MT-DC-AS EU. Hungary, HU
85.163.140.241|/Satoshi:12.1.0/|63003|28725|85.163.0.0/16|CZ|ripencc|2004-10-25|CETIN-AS, CZ
85.23.235.15|/Satoshi:12.1.0/|63003|16086|85.23.0.0/16|FI|ripencc|2005-04-06|DNA, FI
91.123.176.251|/Satoshi:12.0.0/|63003|51792|91.123.176.0/20|PL|ripencc|2010-10-20|GIGA-AS # 1, PL
93.138.139.108|/Satoshi:12.1.0/|63003|5391|93.138.0.0/16|HR|ripencc|2008-04-23|T-HT Croatian Telecom Inc., HR
93.140.2.245|/Satoshi:12.1.0/|63003|5391|93.140.0.0/16|HR|ripencc|2008-04-23|T-HT Croatian Telecom Inc., HR
95.217.78.168|/Satoshi:12.1.0/|63003|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
