# https://chainz.cryptoid.info/ and whois results
# TrumpCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
128.199.198.86|/TrumpCoin Core:4.1.1/|71100|14061|128.199.192.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
157.230.103.233|/TrumpCoin Core:4.1.1/|71100|14061|157.230.96.0/20|US|arin|2018-08-22|DIGITALOCEAN-ASN, US
165.227.106.56|/TrumpCoin Core:4.1.0/|71100|14061|165.227.96.0/20|US|arin|2016-10-06|DIGITALOCEAN-ASN, US
167.86.84.123|/TrumpCoin Core:4.1.1/|71100|51167|167.86.84.0/23|DE|ripencc|1993-05-14|CONTABO, DE
173.28.13.184|/TrumpCoin Core:4.1.1/|71100|30036|173.28.8.0/21|US|arin|2008-05-19|MEDIACOM-ENTERPRISE-BUSINESS, US
176.118.198.101|/TrumpCoin Core:4.1.1/|71100|15440|176.118.198.0/24|RU|ripencc|2018-07-04|BALTNETA Customers AS, LT
176.118.198.103|/TrumpCoin Core:4.1.1/|71100|15440|176.118.198.0/24|RU|ripencc|2018-07-04|BALTNETA Customers AS, LT
176.118.198.105|/TrumpCoin Core:4.1.1/|71100|15440|176.118.198.0/24|RU|ripencc|2018-07-04|BALTNETA Customers AS, LT
176.118.198.106|/TrumpCoin Core:4.1.1/|71100|15440|176.118.198.0/24|RU|ripencc|2018-07-04|BALTNETA Customers AS, LT
176.118.198.112|/TrumpCoin Core:4.1.1/|71100|15440|176.118.198.0/24|RU|ripencc|2018-07-04|BALTNETA Customers AS, LT
176.118.198.113|/TrumpCoin Core:4.1.1/|71100|15440|176.118.198.0/24|RU|ripencc|2018-07-04|BALTNETA Customers AS, LT
176.118.198.116|/TrumpCoin Core:4.1.1/|71100|15440|176.118.198.0/24|RU|ripencc|2018-07-04|BALTNETA Customers AS, LT
176.118.198.117|/TrumpCoin Core:4.1.1/|71100|15440|176.118.198.0/24|RU|ripencc|2018-07-04|BALTNETA Customers AS, LT
176.118.198.118|/TrumpCoin Core:4.1.1/|71100|15440|176.118.198.0/24|RU|ripencc|2018-07-04|BALTNETA Customers AS, LT
176.118.198.120|/TrumpCoin Core:4.1.1/|71100|15440|176.118.198.0/24|RU|ripencc|2018-07-04|BALTNETA Customers AS, LT
176.118.198.125|/TrumpCoin Core:4.1.1/|71100|15440|176.118.198.0/24|RU|ripencc|2018-07-04|BALTNETA Customers AS, LT
176.118.198.127|/TrumpCoin Core:4.1.1/|71100|15440|176.118.198.0/24|RU|ripencc|2018-07-04|BALTNETA Customers AS, LT
176.118.198.15|/TrumpCoin Core:4.1.1/|71100|15440|176.118.198.0/24|RU|ripencc|2018-07-04|BALTNETA Customers AS, LT
176.118.198.19|/TrumpCoin Core:4.1.1/|71100|15440|176.118.198.0/24|RU|ripencc|2018-07-04|BALTNETA Customers AS, LT
176.118.198.96|/TrumpCoin Core:4.1.1/|71100|15440|176.118.198.0/24|RU|ripencc|2018-07-04|BALTNETA Customers AS, LT
209.141.54.77|/TrumpCoin Core:4.1.1/|71100|53667|209.141.32.0/19|US|arin|2011-01-27|PONYNET, US
209.145.53.116|/TrumpCoin Core:4.1.1/|71100|40021|209.145.48.0/20|US|arin|2021-08-26|CONTABO, US
209.181.233.185|/TrumpCoin Core:4.1.1/|71100|209|209.181.233.0/24|US|arin|1997-12-01|CENTURYLINK-US-LEGACY-QWEST, US
209.181.233.186|/TrumpCoin Core:4.1.1/|71100|209|209.181.233.0/24|US|arin|1997-12-01|CENTURYLINK-US-LEGACY-QWEST, US
213.108.119.84|/TrumpCoin Core:4.1.1/|71100|60191|213.108.112.0/21|PL|ripencc|2009-07-29|NOWATEL-AS, PL
217.117.29.103|/TrumpCoin Core:4.1.1/|71100|15440|217.117.16.0/20|LT|ripencc|2003-12-18|BALTNETA Customers AS, LT
217.117.29.106|/TrumpCoin Core:4.1.1/|71100|15440|217.117.16.0/20|LT|ripencc|2003-12-18|BALTNETA Customers AS, LT
217.117.29.107|/TrumpCoin Core:4.1.1/|71100|15440|217.117.16.0/20|LT|ripencc|2003-12-18|BALTNETA Customers AS, LT
217.117.29.109|/TrumpCoin Core:4.1.1/|71100|15440|217.117.16.0/20|LT|ripencc|2003-12-18|BALTNETA Customers AS, LT
217.117.29.120|/TrumpCoin Core:4.1.1/|71100|15440|217.117.16.0/20|LT|ripencc|2003-12-18|BALTNETA Customers AS, LT
217.117.29.125|/TrumpCoin Core:4.1.1/|71100|15440|217.117.16.0/20|LT|ripencc|2003-12-18|BALTNETA Customers AS, LT
45.61.184.73|/TrumpCoin Core:4.1.1/|71100|53667|45.61.184.0/22|US|arin|2015-01-02|PONYNET, US
45.61.188.170|/TrumpCoin Core:4.1.1/|71100|53667|45.61.188.0/24|US|arin|2015-01-02|PONYNET, US
45.61.54.164|/TrumpCoin Core:4.1.1/|71100|46562|45.61.54.0/24|US|arin|2018-05-18|PERFORMIVE, US
46.151.138.54|/TrumpCoin Core:4.1.1/|71100|197437|46.151.136.0/21|PL|ripencc|2010-12-01|PLAST-COM-AS, PL
62.171.128.99|/TrumpCoin Core:4.1.1/|71100|51167|62.171.128.0/23|DE|ripencc|2000-08-18|CONTABO, DE
68.187.130.21|/TrumpCoin Core:4.1.1/|71100|20115|68.187.128.0/21|US|arin|2002-12-31|CHARTER-20115, US
73.225.254.9|/TrumpCoin Core:4.1.1/|71100|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
73.35.185.69|/TrumpCoin Core:4.1.1/|71100|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
91.103.255.87|/TrumpCoin Core:4.1.1/|71100|15440|91.103.255.0/24|SC|ripencc|2018-06-22|BALTNETA Customers AS, LT
91.103.255.92|/TrumpCoin Core:4.1.1/|71100|15440|91.103.255.0/24|SC|ripencc|2018-06-22|BALTNETA Customers AS, LT
96.82.200.49|/TrumpCoin Core:4.1.1/|71100|7922|96.64.0.0/11|US|arin|2008-02-21|COMCAST-7922, US
