# https://chainz.cryptoid.info/ and whois results
# VeriCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
107.190.66.40|/Vericonomy:2.0.0.1/|90000|5645|107.190.64.0/22|CA|arin|2014-04-25|TEKSAVVY, CA
108.54.87.253|???|0|701|108.54.0.0/16|US|arin|2009-06-05|UUNET, US
109.10.33.212|/Vericonomy:2.0.0.1/|90000|15557|109.0.0.0/11|FR|ripencc|2009-08-13|LDCOMNET, FR
122.106.118.161|/Vericonomy:2.0.0.1/|90000|4804|122.106.0.0/15|AU|apnic|2006-11-10|MPX-AS Microplex PTY LTD, AU
130.204.16.204|/Veritoshi:1.7.2/|70012|13124|130.204.0.0/19|BG|ripencc|2011-10-26|A1, BG
139.91.197.226|/Veritoshi:1.7.2/|70012|8522|139.91.0.0/16|GR|ripencc|1990-02-15|FORTH-AS, GR
151.197.230.219|/Veritoshi:1.7.2/|70012|701|151.197.0.0/16|US|arin|1991-09-25|UUNET, US
173.2.195.19|/Veritoshi:1.7.2/|70012|6128|173.2.0.0/15|US|arin|2008-05-12|CABLE-NET-1, US
178.33.167.100|/Vericonomy:2.0.0.3/|90000|16276|178.32.0.0/15|FR|ripencc|2010-01-19|OVH, FR
184.189.216.80|/Veritoshi:1.7.2/|70012|22773|184.189.216.0/21|US|arin|2010-05-14|ASN-CXA-ALL-CCI-22773-RDC, US
190.96.1.19|/Veritoshi:1.7.2/|70012|18822|190.96.1.0/24|CL|lacnic|2007-07-19|Manquehuenet, CL
195.206.105.32|/Veritoshi:1.7.2/|70012|9009|195.206.105.0/24|RO|ripencc|2018-08-07|M247, GB
206.189.145.110|/Veritoshi:1.7.2/|70012|14061|206.189.144.0/20|US|arin|1995-11-15|DIGITALOCEAN-ASN, US
206.189.209.81|/Veritoshi:1.7.2/|70012|14061|206.189.208.0/20|US|arin|1995-11-15|DIGITALOCEAN-ASN, US
207.213.184.250|/Veritoshi:1.7.2/|70012|7018|207.212.0.0/14|US|arin|1996-09-25|ATT-INTERNET4, US
31.51.28.185|/Veritoshi:1.7.2/|70012|2856|31.48.0.0/13|GB|ripencc|2010-12-31|BT-UK-AS BTnet UK Regional network, GB
51.89.59.26|/Vericonomy:2.0.0/|90000|16276|51.89.0.0/16|FR|ripencc|1993-09-01|OVH, FR
54.37.42.45|/Veritoshi:1.7.2/|70012|16276|54.37.0.0/16|FR|ripencc|1992-03-17|OVH, FR
73.74.19.155|/Vericonomy:2.0.0.3/|90000|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
79.124.36.162|/Veritoshi:1.7.2/|70012|34524|79.124.32.0/21|BG|ripencc|2007-07-31|DIGICOM-AS, BG
80.229.22.65|/Veritoshi:1.7.2/|70012|6871|80.229.0.0/16|GB|ripencc|2003-10-17|PLUSNET UK Internet Service Provider, GB
82.204.244.2|/Vericonomy:2.0.0.3/|90000|8359|82.204.128.0/17|RU|ripencc|2003-11-03|MTS, RU
83.188.45.34|/Vericonomy:2.0.0.3/|90000|39651|83.188.0.0/18|SE|ripencc|2004-01-16|TELE2-FIXED-SWEDEN, SE
84.26.82.42|/Veritoshi:1.7.2/|70012|33915|84.24.0.0/14|NL|ripencc|2004-07-01|TNF-AS, NL
86.83.196.217|/Veritoshi:1.7.2/|70012|1136|86.80.0.0/12|NL|ripencc|2005-03-23|KPN KPN National, NL
86.85.157.170|/Veritoshi:1.7.2/|70012|1136|86.80.0.0/12|NL|ripencc|2005-03-23|KPN KPN National, NL
91.121.221.200|/Vericonomy:2.0.0/|90000|16276|91.121.0.0/16|FR|ripencc|2006-09-20|OVH, FR
91.125.221.9|/Veritoshi:1.7.2/|70012|6871|91.125.0.0/16|GB|ripencc|2006-10-09|PLUSNET UK Internet Service Provider, GB
94.252.110.99|/Vericonomy:2.0.0.3/|90000|56665|94.252.96.0/20|LU|ripencc|2008-09-30|TANGO-TELINDUS, LU
98.110.167.105|/Vericonomy:2.0.0.3/|90000|701|98.110.128.0/17|US|arin|2008-04-02|UUNET, US
98.164.220.236|/Veritoshi:1.7.2/|70012|22773|98.164.192.0/18|US|arin|2007-07-20|ASN-CXA-ALL-CCI-22773-RDC, US
