# https://chainz.cryptoid.info/ and whois results
# Verium
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
1.158.50.85|/Verium:1.3.2/|80004|1221|1.128.0.0/11|AU|apnic|2010-05-18|ASN-TELSTRA Telstra Corporation Ltd, AU
102.129.152.152|/Verium:1.3.2/|80004|174|102.129.152.0/24|ZA|afrinic|2018-09-28|COGENT-174, US
107.181.183.242|/Verium:1.3.2/|80004|46562|107.181.183.0/24|US|arin|2014-02-14|PERFORMIVE, US
107.190.66.40|/Verium:1.3.2/|80004|5645|107.190.64.0/22|CA|arin|2014-04-25|TEKSAVVY, CA
108.244.235.225|/Verium:1.3.2/|80004|7018|108.192.0.0/10|US|arin|2011-01-12|ATT-INTERNET4, US
110.137.102.105|/Veritoshi:1.1/|80001|7713|110.137.100.0/22|ID|apnic|2009-04-20|TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
128.199.60.130|/Satoshi:0.16.3/|80001|14061|128.199.32.0/19|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
142.0.25.212|/Verium:1.3.2/|80004|54139|142.0.25.0/24|CA|arin|2012-05-29|CONNEXIO, CA
144.76.14.164|/Verium:1.3.2/|80004|24940|144.76.0.0/16|DE|ripencc|1990-11-16|HETZNER-AS, DE
145.131.164.169|/Veritoshi:1.2/|80001|28685|145.131.160.0/19|NL|ripencc|1993-09-01|ASN-ROUTIT, NL
146.120.161.145|/Verium:1.3.2/|80004|60754|146.120.160.0/22|CZ|ripencc|2011-07-12|DIANET-NET, UA
160.152.108.40|/Veritoshi:1.1/|80001|37637|160.152.0.0/17|NG|afrinic|2015-11-09|Smile-Nigeria-AS, NG
160.152.142.49|/Veritoshi:1.1/|80001|37637|160.152.128.0/17|NG|afrinic|2015-11-09|Smile-Nigeria-AS, NG
169.1.40.90|/Verium:1.3.2/|80004|37611|169.0.0.0/15|ZA|afrinic|2015-07-01|Afrihost, ZA
169.159.69.219|/Veritoshi:1.1/|80001|37122|169.159.64.0/18|NG|afrinic|2015-01-06|SMILE-, UG
169.159.74.48|/Veritoshi:1.1/|80001|37122|169.159.64.0/18|NG|afrinic|2015-01-06|SMILE-, UG
170.246.97.63|/Verium:1.3.2/|80004|52721|170.246.96.0/23|BR|lacnic|2017-01-31|TOLEDO FIBRA TELECOMUNICACAO LTDA, BR
173.162.242.205|/Verium:1.3.2/|80004|7922|173.160.0.0/13|US|arin|2009-04-10|COMCAST-7922, US
184.147.161.192|/Verium:1.3.2/|80004|577|184.147.0.0/16|CA|arin|2010-04-12|BACOM, CA
184.170.255.237|/Verium:1.3.2/|80004|46562|184.170.255.0/24|US|arin|2011-08-30|PERFORMIVE, US
184.189.216.80|/Verium:1.3.2/|80004|22773|184.189.216.0/21|US|arin|2010-05-14|ASN-CXA-ALL-CCI-22773-RDC, US
194.45.77.37|/Verium:1.3.2/|80004|204151|194.45.76.0/22|DK|ripencc|2019-01-02|KVIKNET-, DK
195.9.113.126|/Veritoshi:1.2/|80001|25513|195.9.0.0/16|RU|ripencc|1996-10-02|ASN-MGTS-USPD, RU
199.229.248.218|/Verium:1.3.2/|80004|46562|199.229.248.0/24|US|arin|2012-06-27|PERFORMIVE, US
2.56.190.250|/Verium:1.3.2/|80004|62240|2.56.190.0/24|GB|ripencc|2019-03-15|CLOUVIDER Clouvider - Global ASN, GB
201.88.254.130|/Verium:1.3.2/|80004|8167|201.88.192.0/18|BR|lacnic|2006-05-19|Brasil Telecom SA - Filial Distrito Federal, BR
202.171.78.5|/Veritoshi:1.2/|80001|17480|202.171.64.0/20|NC|apnic|2001-01-12|CANL CANL, NC
203.118.129.241|/Verium:1.3.2/|80004|9500|203.118.128.0/18|NZ|apnic|2002-10-09|VODAFONE-TRANSIT-AS Vodafone NZ Ltd., NZ
206.189.145.110|/Veritoshi:1.2/|80001|14061|206.189.144.0/20|US|arin|1995-11-15|DIGITALOCEAN-ASN, US
206.189.209.81|/Veritoshi:1.2/|80001|14061|206.189.208.0/20|US|arin|1995-11-15|DIGITALOCEAN-ASN, US
206.189.59.89|/Veritoshi:1.2/|80001|14061|206.189.48.0/20|US|arin|1995-11-15|DIGITALOCEAN-ASN, US
213.239.193.15|/Verium:1.3.2/|80004|24940|213.239.192.0/18|DE|ripencc|2003-05-28|HETZNER-AS, DE
217.138.209.68|/Verium:1.3.2/|80004|9009|217.138.209.0/24|GB|ripencc|2001-01-31|M247, GB
217.61.218.224|/Verium:1.3.2/|80004|203953|217.61.216.0/21|DK|ripencc|2000-11-01|HIPER, DK
24.186.211.210|/Verium:1.3.2/|80004|6128|24.184.0.0/14|US|arin|2000-12-12|CABLE-NET-1, US
24.88.60.207|/Veritoshi:1.2/|80001|11426|24.88.0.0/16|US|arin|2000-06-19|TWC-11426-CAROLINAS, US
45.253.129.129|/Verium:1.3.2/|80004|134743|45.253.129.0/24|AU|apnic|2016-06-06|WSPL-AS-AP Beam Internet, AU
45.77.72.49|/Veritoshi:1.0.4/|80001|20473|45.77.72.0/22|US|arin|2015-04-24|AS-CHOOPA, US
46.142.20.221|/Verium:1.3.2/|80004|8881|46.142.16.0/20|DE|ripencc|2010-11-25|VERSATEL, DE
46.95.208.35|/Veritoshi:1.2/|80001|3320|46.80.0.0/12|DE|ripencc|2010-06-07|DTAG Internet service provider operations, DE
50.27.209.18|/Veritoshi:1.2/|80001|19108|50.27.192.0/18|US|arin|2010-10-25|SUDDENLINK-COMMUNICATIONS, US
51.89.59.21|/Verium:1.3.2/|80004|16276|51.89.0.0/16|FR|ripencc|1993-09-01|OVH, FR
51.89.59.24|/Verium:1.3.2/|80004|16276|51.89.0.0/16|FR|ripencc|1993-09-01|OVH, FR
51.89.59.25|/Verium:1.3.2/|80004|16276|51.89.0.0/16|FR|ripencc|1993-09-01|OVH, FR
54.37.42.45|/Verium:1.3.2/|80004|16276|54.37.0.0/16|FR|ripencc|1992-03-17|OVH, FR
62.28.23.75|/Verium:1.3.1/|80003|15525|62.28.0.0/16|PT|ripencc|2006-06-08|MEO-EMPRESAS, PT
65.189.250.250|/Verium:1.3.1/|80003|10796|65.189.224.0/19|US|arin|2004-04-07|TWC-10796-MIDWEST, US
66.70.182.1|/Verium:1.3.2/|80004|16276|66.70.128.0/17|CA|arin|2017-02-13|OVH, FR
68.69.166.145|/Verium:1.3.2/|80004|6315|68.69.160.0/20|US|arin|2009-04-02|XMISSION, US
69.114.49.99|/Verium:1.3.2/|80004|6128|69.112.0.0/14|US|arin|2004-01-15|CABLE-NET-1, US
69.142.93.86|/Veritoshi:1.2/|80001|7922|69.136.0.0/13|US|arin|2003-04-24|COMCAST-7922, US
72.197.42.178|/Veritoshi:1.0.4/|80001|22773|72.197.0.0/16|US|arin|2005-08-03|ASN-CXA-ALL-CCI-22773-RDC, US
72.218.216.181|/Verium:1.3.2/|80004|22773|72.218.0.0/16|US|arin|2005-08-03|ASN-CXA-ALL-CCI-22773-RDC, US
72.24.29.34|/Verium:1.3.2/|80004|11492|72.24.29.0/24|US|arin|2004-12-14|CABLEONE, US
73.115.76.118|/Veritoshi:1.2/|80001|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
73.153.106.238|/Verium:1.3.2/|80004|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
73.161.0.9|/Verium:1.3.2/|80004|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
