# https://chainz.cryptoid.info/ and whois results
# Vertcoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.209.252.105|/Satoshi:0.17.1/|70015|33438|103.209.252.0/24|JP|apnic|2016-02-24|HIGHWINDS2, US
103.249.89.11|/Satoshi:0.17.1/|70015|134055|103.249.89.0/24|IN|apnic|2013-05-31|INTERMEDIACABLE-AS Intermedia Cable Communication Pvt Ltd, IN
107.11.123.98|/Satoshi:0.17.1/|70015|10796|107.11.0.0/16|US|arin|2010-09-23|TWC-10796-MIDWEST, US
107.152.41.129|/generic-seeder/|70015|11878|107.152.41.0/24|US|arin|2013-12-03|TZULO, US
107.206.232.222|/Satoshi:0.17.1/|70015|7018|107.192.0.0/12|US|arin|2012-04-25|ATT-INTERNET4, US
107.214.10.114|/Satoshi:0.14.0/|70015|7018|107.208.0.0/12|US|arin|2012-04-25|ATT-INTERNET4, US
107.4.50.19|/Satoshi:0.17.1/|70015|7922|107.4.0.0/15|US|arin|2010-06-29|COMCAST-7922, US
108.197.89.183|/Satoshi:0.17.1/|70015|7018|108.192.0.0/10|US|arin|2011-01-12|ATT-INTERNET4, US
109.220.178.178|/Satoshi:0.17.1/|70015|3215|109.220.128.0/17|FR|ripencc|2009-10-07|France Telecom - Orange, FR
110.138.81.247|/Satoshi:0.17.1/|70015|7713|110.138.80.0/20|ID|apnic|2009-04-20|TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
115.225.223.83|/Satoshi:0.17.1/|70015|4134|115.224.0.0/12|CN|apnic|2008-09-03|CHINANET-BACKBONE No.31,Jin-rong Street, CN
117.20.68.152|/Satoshi:0.17.1/|70015|4764|117.20.68.0/23|AU|apnic|2007-06-18|WIDEBAND-AS-AP Aussie Broadband, AU
119.17.159.128|/Satoshi:0.11.1/|70015|4764|119.17.156.0/22|AU|apnic|2007-12-03|WIDEBAND-AS-AP Aussie Broadband, AU
12.244.161.182|/Satoshi:0.17.1/|70015|7018|12.128.0.0/9|US|arin|1983-08-23|ATT-INTERNET4, US
120.148.27.180|/Satoshi:0.17.1/|70015|1221|120.144.0.0/13|AU|apnic|2008-04-09|ASN-TELSTRA Telstra Corporation Ltd, AU
13.112.128.70|/Satoshi:0.17.1/|70015|16509|13.112.0.0/14|US|arin|2016-08-09|AMAZON-02, US
