# https://chainz.cryptoid.info/ and whois results
# Wagerr
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
1.145.19.188|/Wagerr Core:4.0.0/|70928|1221|1.128.0.0/11|AU|apnic|2010-05-18|ASN-TELSTRA Telstra Corporation Ltd, AU
1.145.41.72|/Wagerr Core:4.0.0/|70928|1221|1.128.0.0/11|AU|apnic|2010-05-18|ASN-TELSTRA Telstra Corporation Ltd, AU
104.248.199.72|/Wagerr Core:4.0.0/|70928|14061|104.248.192.0/20|US|arin|2018-08-06|DIGITALOCEAN-ASN, US
107.194.212.252|/Wagerr Core:4.0.0/|70928|7018|107.192.0.0/12|US|arin|2012-04-25|ATT-INTERNET4, US
116.203.223.24|/Wagerr Core:4.0.0/|70928|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.203.77.180|/Wagerr Core:4.0.0/|70928|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.203.92.0|/Wagerr Core:4.0.0/|70928|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
118.25.84.97|/Wagerr Core:4.0.0/|70928|45090|118.25.84.0/22|CN|apnic|2007-08-03|CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
120.158.206.132|/Wagerr Core:4.0.0/|70928|1221|120.158.0.0/16|AU|apnic|2009-04-20|ASN-TELSTRA Telstra Corporation Ltd, AU
138.201.16.118|/Wagerr Core:4.0.0/|70928|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
138.201.16.60|/Wagerr Core:4.0.0/|70928|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
139.168.204.252|/Wagerr Core:4.0.0/|70928|1221|139.168.0.0/16|AU|apnic|1990-03-24|ASN-TELSTRA Telstra Corporation Ltd, AU
