# https://chainz.cryptoid.info/ and whois results
# JouleCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
185.107.70.202|???|0|43350|185.107.68.0/22|NL|ripencc|2015-07-03|NFORCE, NL
185.220.100.243|/Satoshi:0.10.4.3/|70003|205100|185.220.100.0/24|DE|ripencc|2017-09-12|F3NETZE, DE
185.220.101.16|/Satoshi:0.10.4.2/|70003|208294|185.220.101.0/24|DE|ripencc|2017-09-12|RELAYON, US
208.94.242.218|/Satoshi:0.10.4.2/|70003|19969|208.94.240.0/21|US|arin|2008-09-11|JOESDATACENTER, US
46.101.235.143|/Satoshi:0.10.4.2/|70003|14061|46.101.128.0/17|US|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
5.9.145.235|/Satoshi:0.10.4.2/|70003|24940|5.9.0.0/16|DE|ripencc|2012-04-25|HETZNER-AS, DE
51.38.57.53|/Satoshi:0.10.4.3/|70003|16276|51.38.0.0/16|FR|ripencc|1993-09-01|OVH, FR
74.14.205.46|/Satoshi:0.10.4.2/|70003|577|74.14.0.0/16|CA|arin|2006-01-19|BACOM, CA
77.239.37.178|/Satoshi:0.10.4.2/|70003|15600|77.239.32.0/19|CH|ripencc|2007-03-01|FINECOM Quickline AG, CH
82.161.34.149|/Satoshi:0.10.4.3/|70003|3265|82.161.0.0/16|NL|ripencc|2003-07-14|XS4ALL-NL Amsterdam, NL
85.15.179.171|/Satoshi:0.10.4.3/|70003|12389|85.15.128.0/18|RU|ripencc|2005-04-26|ROSTELECOM-AS, RU
91.121.221.92|/Satoshi:0.10.4.3/|70003|16276|91.121.0.0/16|FR|ripencc|2006-09-20|OVH, FR
91.206.16.214|/Satoshi:0.10.4.3/|70003|13259|91.206.16.0/23|RU|ripencc|2008-06-09|DELTA-TELESYSTEMS-AS, RU
