# https://chainz.cryptoid.info/ and whois results
# Magi
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.131.5.234|/m-core:1.4.6.2/|71065|14061|104.131.0.0/18|US|arin|2014-06-02|DIGITALOCEAN-ASN, US
104.246.196.133|/m-core:1.4.6.2/|71065|5645|104.246.196.0/23|CA|arin|2014-12-24|TEKSAVVY, CA
107.189.31.19|/m-core:1.4.6.2/|71065|53667|107.189.30.0/23|US|arin|2014-04-17|PONYNET, US
108.192.159.84|/m-core:1.4.6.2/|71065|7018|108.192.0.0/10|US|arin|2011-01-12|ATT-INTERNET4, US
109.150.37.18|/m-core:1.4.6.2/|71065|2856|109.144.0.0/12|GB|ripencc|2009-08-06|BT-UK-AS BTnet UK Regional network, GB
152.89.162.86|/m-core:1.4.6.2/|71065|9009|152.89.162.0/24|RO|ripencc|2019-01-25|M247, GB
152.89.162.90|/m-core:1.4.6.2/|71065|9009|152.89.162.0/24|RO|ripencc|2019-01-25|M247, GB
156.146.63.143|/m-core:1.4.6.2/|71065|60068|156.146.63.0/24|GB|ripencc|1990-02-05|CDN77 (^_^)/, GB
156.146.63.16|/m-core:1.4.6.2/|71065|60068|156.146.63.0/24|GB|ripencc|1990-02-05|CDN77 (^_^)/, GB
156.146.63.30|/m-core:1.4.6.2/|71065|60068|156.146.63.0/24|GB|ripencc|1990-02-05|CDN77 (^_^)/, GB
161.129.145.62|/m-core:1.4.6.2/|71065|6327|161.129.144.0/21|CA|arin|2018-05-29|SHAW, CA
161.53.40.242|/m-core:1.4.6.2/|71065|2108|161.53.0.0/16|HR|ripencc|1993-09-01|CARNET-AS J.Marohnica 5, 10000 Zagreb, HR
161.97.164.98|/m-core:1.4.6.2/|71065|51167|161.97.160.0/20|DE|ripencc|1992-06-23|CONTABO, DE
162.248.163.62|/m-core:1.4.6.2/|71065|31798|162.248.163.0/24|CA|arin|2013-11-15|DATACITY, CA
172.92.244.149|/m-core:1.4.6.2/|71065|11404|172.92.0.0/16|US|arin|2015-05-26|AS-WAVE-1, US
172.94.15.116|/m-core:1.4.6.2/|71065|3223|172.94.15.0/24|US|arin|2015-06-02|VOXILITY, GB
174.95.120.129|/m-core:1.4.6.2/|71065|577|174.95.0.0/16|CA|arin|2009-02-27|BACOM, CA
177.34.90.170|/m-core:1.4.6.2/|71065|28573|177.34.80.0/20|BR|lacnic|2011-01-14|CLARO S.A., BR
178.162.194.66|/m-core:1.4.6.2/|71065|28753|178.162.192.0/18|DE|ripencc|2010-02-05|LEASEWEB-DE-FRA-10, DE
178.17.171.90|/m-core:1.4.6.2/|71065|43289|178.17.160.0/20|MD|ripencc|2010-03-23|TRABIA, MD
178.192.210.196|/m-core:1.4.6.2/|71065|3303|178.192.0.0/15|CH|ripencc|2010-02-24|SWISSCOM Swisscom (Switzerland) Ltd, CH
178.84.21.120|/m-core:1.4.6.2/|71065|33915|178.84.0.0/16|NL|ripencc|2009-12-19|TNF-AS, NL
185.148.3.233|/m-core:1.4.6.2/|71065|203003|185.148.0.0/22|FI|ripencc|2016-04-18|MAGNA-CAPAX, FI
185.148.3.236|/m-core:1.4.6.2/|71065|203003|185.148.0.0/22|FI|ripencc|2016-04-18|MAGNA-CAPAX, FI
185.198.56.115|/m-core:1.4.6.2/|71065|60117|185.198.56.0/24|AE|ripencc|2017-04-06|HS, AE
185.198.56.175|/m-core:1.4.6.2/|71065|60117|185.198.56.0/24|AE|ripencc|2017-04-06|HS, AE
185.86.79.11|/m-core:1.4.6.2/|71065|201094|185.86.76.0/22|UA|ripencc|2015-01-30|GMHOST, UA
186.158.133.4|/m-core:1.4.6.2/|71065|11664|186.158.133.0/24|AR|lacnic|2012-03-12|Techtel LMDS Comunicaciones Interactivas S.A., AR
186.158.133.52|/m-core:1.4.6.2/|71065|11664|186.158.133.0/24|AR|lacnic|2012-03-12|Techtel LMDS Comunicaciones Interactivas S.A., AR
186.32.218.197|/m-core:1.4.6.2/|71065|262197|186.32.218.0/23|CR|lacnic|2011-06-24|MILLICOM CABLE COSTA RICA S.A., CR
188.244.132.113|/m-core:1.4.6.2/|71065|15774|188.244.132.0/22|RU|ripencc|2011-01-11|TTK-RTL Retail, RU
188.68.34.242|/m-core:1.4.6.2/|71065|197540|188.68.32.0/20|DE|ripencc|2009-08-25|NETCUP-AS netcup GmbH, DE
190.252.44.83|/m-core:1.4.6.2/|71065|3816|190.252.32.0/19|CO|lacnic|2008-04-22|COLOMBIA TELECOMUNICACIONES S.A. ESP, CO
193.119.106.181|/m-core:1.4.6.2/|71065|7545|193.119.96.0/20|AU|apnic|1994-06-09|TPG-INTERNET-AP TPG Telecom Limited, AU
193.124.182.62|/m-core:1.4.6.2/|71065|35196|193.124.176.0/20|CZ|ripencc|1993-09-01|IHOR-AS, RU
194.75.29.65|/m-core:1.4.6.2/|71065|6871|194.75.0.0/19|GB|ripencc|1996-10-16|PLUSNET UK Internet Service Provider, GB
200.159.60.130|/m-core:1.4.6.2/|71065|10429|200.159.0.0/18|BR|lacnic|2003-12-29|TELEFONICA BRASIL S.A, BR
204.111.162.204|/m-core:1.4.7.2/|71065|4922|204.111.128.0/17|US|arin|1995-05-03|SHENTEL, US
207.244.70.86|/m-core:1.4.6.2/|71065|30633|207.244.64.0/18|US|arin|1996-11-15|LEASEWEB-USA-WDC, US
213.127.216.66|/m-core:1.4.6.2/|71065|33915|213.127.128.0/17|NL|ripencc|1999-09-16|TNF-AS, NL
217.100.21.99|/m-core:1.4.7.2/|71065|33915|217.100.0.0/17|NL|ripencc|2000-12-05|TNF-AS, NL
217.107.115.10|/m-core:1.4.6.2/|71065|12389|217.107.64.0/18|RU|ripencc|2000-12-20|ROSTELECOM-AS, RU
217.107.115.43|/m-core:1.4.6.2/|71065|12389|217.107.64.0/18|RU|ripencc|2000-12-20|ROSTELECOM-AS, RU
217.225.245.166|/m-core:1.4.6.2/|71065|3320|217.224.0.0/11|DE|ripencc|2001-04-04|DTAG Internet service provider operations, DE
24.48.78.15|/m-core:1.4.6.2/|71065|5769|24.48.64.0/18|CA|arin|2011-02-17|VIDEOTRON, CA
31.40.126.139|/m-core:1.4.6.2/|71065|56761|31.40.126.0/24|RU|ripencc|2011-05-05|MULTINEX-MIASS-AS, RU
37.120.132.91|/m-core:1.4.6.2/|71065|9009|37.120.132.0/24|RO|ripencc|2012-02-13|M247, GB
5.2.78.74|/m-core:1.4.6.2/|71065|60404|5.2.64.0/20|NL|ripencc|2012-04-27|LITESERVER, NL
50.53.244.193|/m-core:1.4.6.2/|71065|27017|50.53.0.0/16|US|arin|2010-09-24|ZIPLY-FIBER-LEGACY-ASN, US
51.89.116.25|/m-core:1.4.6.2/|71065|16276|51.89.0.0/16|FR|ripencc|1993-09-01|OVH, FR
70.91.250.149|/m-core:1.4.6.2/|71065|7922|70.88.0.0/14|US|arin|2004-08-09|COMCAST-7922, US
71.168.219.127|/m-core:1.4.6.2/|71065|701|71.168.128.0/17|US|arin|2005-06-01|UUNET, US
73.123.150.59|/m-core:1.4.6.2/|71065|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
73.210.95.253|/m-core:1.4.6.2/|71065|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
77.119.249.127|/m-core:1.4.6.2/|71065|25255|77.116.0.0/14|AT|ripencc|2007-01-10|H3G-AUSTRIA-AS ==) TELE2 AUSTRIA (==, AT
77.48.255.80|/m-core:1.4.6.2/|71065|16019|77.48.128.0/17|CZ|ripencc|2006-11-23|VODAFONE-CZ-AS, CZ
78.252.158.84|/m-core:1.4.6.2/|71065|12322|78.224.0.0/11|FR|ripencc|2007-03-15|PROXAD, FR
78.43.73.219|/m-core-test:1.4.8.1/|71065|3209|78.43.0.0/16|DE|ripencc|2007-03-23|VODANET International IP-Backbone of Vodafone, DE
78.63.13.165|/m-core:1.4.6.2/|71065|8764|78.63.12.0/22|LT|ripencc|2007-03-21|TELIA-LIETUVA, LT
79.236.205.8|/m-core:1.4.6.2/|71065|3320|79.192.0.0/10|DE|ripencc|2007-06-06|DTAG Internet service provider operations, DE
